t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
27600,112037,105318,0.0020256,0,0.001289304,0.000307698,0.000523363,0,0.001984807,0.000125637,0.144108128,0.009232
28200,112034,105318,0.00202197,0,0.001293729,0.000307721,0.000520902,0,0.001989557,0.000125696,0.151964202,0.009232
28800,112031,105318,0.00201803,0,0.001297945,0.000307745,0.000518331,0,0.00199599,0.000125735,0.159884078,0.009233
29400,112028,105318,0.00201394,0,0.001302658,0.00030777,0.000520515,0,0.00199661,0.000125762,0.167860872,0.009234
30000,112025,105313,0.00200986,0,0.001312687,0.000307796,0.000434862,0,0.002067621,0.000125776,0.175885338,0.009234
30600,112022,105304,0.00200572,0,0.001322597,0.000307821,0.000353877,0,0.002134584,0.000125771,0.183950164,0.009234
31200,112019,105296,0.00200164,0,0.001331923,0.000307849,0.000280809,0,0.002195092,0.000125766,0.192049438,0.009235
31800,112016,105280,0.0019977,0,0.001340198,0.000307876,0.000227038,0,0.002239353,0.000125752,0.20017805,0.009235
32400,112013,105268,0.00199357,0,0.001347727,0.000307908,0.000193064,0,0.002266961,0.000125733,0.208324412,0.009235
33000,112010,105256,0.00198968,0,0.001354006,0.000307938,0.000180055,0,0.002277257,0.000125683,0.216483186,0.009236
33600,112009,105250,0.00198626,0,0.001359596,0.000307968,0.00017381,0,0.002281961,0.000125618,0.224648512,0.009236
34200,112006,105250,0.00198222,0,0.001365586,0.000307998,0.000168329,0,0.002285895,0.000125483,0.232814758,0.009237
34800,112004,105250,0.00197814,0,0.001371692,0.000308029,0.000163438,0,0.002289186,0.000125252,0.240976744,0.009237
35400,112001,105250,0.00197393,0,0.001377931,0.000308057,0.000158311,0,0.002292662,0.000125018,0.249127821,0.009238
36000,112000,105250,0.00196916,0,0.001384672,0.000308091,0.000153406,0,0.002295868,0.000124715,0.257255101,0.009238
