x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,3.18195196198491e-10
0.015,0.005,0,4.92505188716591e-10
0.025,0.005,0,1.2257839340524e-09
0.035,0.005,0,2.31025053033972e-09
0.045,0.005,0,5.15016279870282e-09
0.055,0.005,0,1.09515478946612e-08
0.065,0.005,0,2.48843051199674e-08
0.075,0.005,0,4.16047569294901e-08
0.085,0.005,0,9.03460778560839e-08
0.095,0.005,0,1.41596882654728e-07
0.105,0.005,0,1.9582021565795e-07
0.115,0.005,0,4.53337312380218e-07
0.125,0.005,0,6.94603356696709e-07
0.135,0.005,0,1.15634213266148e-06
0.145,0.005,0,2.31891696349454e-06
0.155,0.005,0,4.35144060350333e-06
0.165,0.005,0,8.78725719572706e-06
0.175,0.005,0,1.37976876612711e-05
0.185,0.005,0,1.93126820954174e-05
0.195,0.005,0,3.31307361868413e-05
0.205,0.005,0,5.34509069709142e-05
0.215,0.005,0,7.13599978400602e-05
0.225,0.005,0,0.000111342808967583
0.235,0.005,0,0.000156012027245719
0.245,0.005,0,0.000205823649157189
0.255,0.005,0,0.000296513593568757
0.265,0.005,0,0.000433068985988039
0.275,0.005,0,0.000442763292037983
0.285,0.005,0,0.000482298052253876
0.295,0.005,0,0.000624130968017624
0.305,0.005,0,0.00101132442285083
0.315,0.005,0,0.00116428584335161
0.325,0.005,0,0.00159125243476154
0.335,0.005,0,0.00159286252103898
0.345,0.005,0,0.00168792633312381
0.355,0.005,0,0.00152023889564268
0.365,0.005,0,0.0012617686185113
0.375,0.005,0,0.00052526569498669
0.385,0.005,0,0.00043398880608545
0.395,0.005,0,9.03874390725165e-05
0.405,0.005,0,7.62051750076731e-05
0.415,0.005,0,3.3633158231484e-05
0.425,0.005,0,8.82908479511704e-05
0.435,0.005,0,0.000278943521099003
0.445,0.005,0,0.000749535014299398
0.455,0.005,0,0.00246123554549318
0.465,0.005,0,0.00513729523175078
0.475,0.005,0,0.014801865947155
0.485,0.005,0,0.0300479381524469
0.495,0.005,0,0.0657575515221071
0.505,0.005,0,0.109955068603284
0.515,0.005,0,0.172308827685002
0.525,0.005,0,0.238083992570065
0.535,0.005,0,0.318031914049092
0.545,0.005,0,0.404592871167283
0.555,0.005,0,0.490417968441588
0.565,0.005,0,0.576955471543519
0.575,0.005,0,0.641942645452501
0.585,0.005,0,0.707036477511072
0.595,0.005,0,0.770972465768302
0.605,0.005,0,0.825168290102057
0.615,0.005,0,0.866746534872528
0.625,0.005,0,0.902928442743531
0.635,0.005,0,0.936342866762567
0.645,0.005,0,0.970099024941174
0.655,0.005,0,0.99953462263702
0.665,0.005,0,1.0277943757816
0.675,0.005,0,1.04949501538584
0.685,0.005,0,1.06924288722795
0.695,0.005,0,1.08571144522955
0.705,0.005,0,1.09802249045387
0.715,0.005,0,1.11022092552328
0.725,0.005,0,1.11935802828267
0.735,0.005,0,1.12959774592565
0.745,0.005,0,1.13584043784907
0.755,0.005,0,1.14314580245013
0.765,0.005,0,1.14674610056659
0.775,0.005,0,1.15074370601117
0.785,0.005,0,1.15195658442166
0.795,0.005,0,1.14822825929576
0.805,0.005,0,1.14926800969528
0.815,0.005,0,1.14577979361477
0.825,0.005,0,1.14053364159936
0.835,0.005,0,1.12857341466107
0.845,0.005,0,1.12561541000941
0.855,0.005,0,1.08449859525628
0.865,0.005,0,1.06565099487531
0.875,0.005,0,1.03462942958785
0.885,0.005,0,1.04876146389358
0.895,0.005,0,1.04398845738693
0.905,0.005,0,0.997067696552264
0.915,0.005,0,0.9493142598107
0.925,0.005,0,0.963494378317824
0.935,0.005,0,0.99766107250156
0.945,0.005,0,1.02498661768544
0.955,0.005,0,1.02815378487246
0.965,0.005,0,1.03902844748737
0.975,0.005,0,1.04395202118068
0.985,0.005,0,1.05468322581412
0.995,0.005,0,1.04807743668731
1.005,0.005,0,1.04436111194908
1.015,0.005,0,1.03990714945507
1.025,0.005,0,1.03927341743167
1.035,0.005,0,1.02296123914657
1.045,0.005,0,1.0097915521843
1.055,0.005,0,0.996621865222032
1.065,0.005,0,0.973598471441366
1.075,0.005,0,0.954114601027676
1.085,0.005,0,0.927512732029066
1.095,0.005,0,0.898662742828846
1.105,0.005,0,0.860547984364018
1.115,0.005,0,0.818700915495239
1.125,0.005,0,0.775108210374668
1.135,0.005,0,0.71894074942245
1.145,0.005,0,0.659096616118691
1.155,0.005,0,0.585658499355114
1.165,0.005,0,0.508603882110413
1.175,0.005,0,0.416799108680254
1.185,0.005,0,0.303085356328711
1.195,0.005,0,0.208922704086633
1.205,0.005,0,0.136465481033812
1.215,0.005,0,0.0689807368136615
1.225,0.005,0,0.0410557757051974
1.235,0.005,0,0.0233515424408836
1.245,0.005,0,0.00564730917656989
1.255,0.005,0,0.0016106852747905
1.265,0.005,0,0.00079229269163352
1.275,0.005,0,1.0526631426542e-05
1.285,0.005,0,4.05641210844322e-13
1.295,0.005,0,9.29239381806042e-14
1.305,0.005,0,8.64589254139802e-14
1.315,0.005,0,6.64341434518664e-13
1.325,0.005,0,2.47396539376946e-12
1.335,0.005,0,1.88546410880824e-11
1.345,0.005,0,4.30252813768092e-11
1.355,0.005,0,3.78592600309469e-10
1.365,0.005,0,4.86262896836407e-10
1.375,0.005,0,1.9687830142914e-09
1.385,0.005,0,8.33386610010029e-09
1.395,0.005,0,1.69776898922325e-08
1.405,0.005,0,7.31747383069076e-08
1.415,0.005,0,1.34507881689057e-07
1.425,0.005,0,2.84101723923581e-07
1.435,0.005,0,7.05726054756664e-07
1.445,0.005,0,1.11834488728768e-06
1.455,0.005,0,2.79428881447255e-06
1.465,0.005,0,7.75409918408435e-06
1.475,0.005,0,1.47622353655072e-05
1.485,0.005,0,3.61378137764655e-05
1.495,0.005,0,5.44112328126754e-05
1.505,0.005,0,9.56313720400605e-05
1.515,0.005,0,0.000163887993001449
1.525,0.005,0,0.000227614866466994
1.535,0.005,0,0.000463789975692493
1.545,0.005,0,0.000664006562498068
1.555,0.005,0,0.000884785783946325
1.565,0.005,0,0.00165261428261281
1.575,0.005,0,0.00169800066052051
1.585,0.005,0,0.00188181225614167
1.595,0.005,0,0.00183291824322963
1.605,0.005,0,0.00177611608454791
1.615,0.005,0,0.00180322101541168
1.625,0.005,0,0.00248964151330152
1.635,0.005,0,0.00159645294479555
1.645,0.005,0,0.00128004057722953
1.655,0.005,0,0.000695178595628042
1.665,0.005,0,0.000655561443858313
1.675,0.005,0,0.000181921338043944
1.685,0.005,0,0.000160849142746012
1.695,0.005,0,6.4344830904786e-05
1.705,0.005,0,1.14352229101358e-06
1.715,0.005,0,1.61187081713581e-06
1.725,0.005,0,7.9403978809405e-06
1.735,0.005,0,2.7299418803383e-05
1.745,0.005,0,9.65544538545558e-05
1.755,0.005,0,0.000264853819952694
1.765,0.005,0,0.000688653335984581
1.775,0.005,0,0.00157404095136145
1.785,0.005,0,0.00289053613639828
1.795,0.005,0,0.00534863509859778
1.805,0.005,0,0.00751573924133373
1.815,0.005,0,0.0145151030782595
1.825,0.005,0,0.0180652791088354
1.835,0.005,0,0.0300364876323558
1.845,0.005,0,0.0324897183032414
1.855,0.005,0,0.0336855566982863
1.865,0.005,0,0.0400153649892872
1.875,0.005,0,0.0393688961440942
1.885,0.005,0,0.0413576525605512
1.895,0.005,0,0.0463369978140103
1.905,0.005,0,0.0512583542502235
1.915,0.005,0,0.0460102303888653
1.925,0.005,0,0.0440944101328904
1.935,0.005,0,0.0431530994676744
1.945,0.005,0,0.0368144416799012
1.955,0.005,0,0.0351395525482691
1.965,0.005,0,0.0255792479594772
1.975,0.005,0,0.0214829805583034
1.985,0.005,0,0.013295970647986
1.995,0.005,0,0.00818685533017003
2.005,0.005,0,0.00449695773331613
2.015,0.005,0,0.00240488094020492
2.025,0.005,0,0.00119528799951191
2.035,0.005,0,0.000641565281587763
2.045,0.005,0,0.000224408492143097
2.055,0.005,0,9.04946271706146e-05
2.065,0.005,0,2.24021372629154e-05
2.075,0.005,0,5.90955128385777e-06
2.085,0.005,0,9.6296639202808e-07
2.095,0.005,0,2.04256346039734e-07
2.105,0.005,0,2.13428602067712e-07
2.115,0.005,0,9.32035020550933e-06
2.125,0.005,0,6.29265514224965e-05
2.135,0.005,0,0.000354822830989114
2.145,0.005,0,0.000480108449434998
2.155,0.005,0,0.00343012348897247
2.165,0.005,0,0.00360110783499472
2.175,0.005,0,0.00522195960476719
2.185,0.005,0,0.0083091516610748
2.195,0.005,0,0.00939556330318909
2.205,0.005,0,0.00642705771961665
2.215,0.005,0,0.0061599626150966
2.225,0.005,0,0.0068510485879304
2.235,0.005,0,0.0075331857286869
2.245,0.005,0,0.00943367017571878
2.255,0.005,0,0.006940190156163
2.265,0.005,0,0.00659477402751048
2.275,0.005,0,0.00542766013510559
2.285,0.005,0,0.00411129150202694
2.295,0.005,0,0.00330988399930102
2.305,0.005,0,0.00210271500005951
2.315,0.005,0,0.00166342305477728
2.325,0.005,0,0.000958304509476165
2.335,0.005,0,0.000693360205691967
2.345,0.005,0,0.000374446494648141
2.355,0.005,0,0.00024802058763239
2.365,0.005,0,0.000125976188921521
2.375,0.005,0,8.28978458496621e-05
2.385,0.005,0,4.13456447311812e-05
2.395,0.005,0,2.56446718915474e-05
2.405,0.005,0,1.69745265159826e-05
2.415,0.005,0,6.5345702030856e-06
2.425,0.005,0,3.77720560650559e-06
2.435,0.005,0,1.73553336992229e-06
2.445,0.005,0,7.4715948610351e-07
2.455,0.005,0,2.67603103135235e-07
2.465,0.005,0,1.42313160813011e-07
2.475,0.005,0,4.24178705537882e-08
2.485,0.005,0,2.78908736811188e-08
2.495,0.005,0,9.7357265961682e-09
2.505,0.005,0,3.27780038785643e-09
2.515,0.005,0,7.74546155373846e-10
2.525,0.005,0,1.92929226107506e-10
2.535,0.005,0,1.17891360661187e-10
2.545,0.005,0,1.8661435929458e-07
2.555,0.005,0,3.41207101493831e-06
2.565,0.005,0,4.08016711804611e-05
2.575,0.005,0,0.000102907810179209
2.585,0.005,0,0.000124900080071102
2.595,0.005,0,0.000474251894189734
2.605,0.005,0,0.00162496342269654
2.615,0.005,0,0.00211170422945986
2.625,0.005,0,0.00426576815395979
2.635,0.005,0,0.00514890713956206
2.645,0.005,0,0.00570917789800253
2.655,0.005,0,0.00606504857251906
2.665,0.005,0,0.00529057530797353
2.675,0.005,0,0.00482978116631024
2.685,0.005,0,0.00481006732198162
2.695,0.005,0,0.00480894932378921
2.705,0.005,0,0.00412139376466825
2.715,0.005,0,0.00365681377747703
2.725,0.005,0,0.00281341800539718
2.735,0.005,0,0.00220842983855587
2.745,0.005,0,0.00164647370737626
2.755,0.005,0,0.00119754157946221
2.765,0.005,0,0.000919197662937525
2.775,0.005,0,0.000587567939669643
2.785,0.005,0,0.000438888158599322
2.795,0.005,0,0.000292387475191153
2.805,0.005,0,0.000177187327080174
2.815,0.005,0,0.000149881761028964
2.825,0.005,0,0.000113007939532828
2.835,0.005,0,7.01637822772974e-05
2.845,0.005,0,5.68017860946715e-05
2.855,0.005,0,5.33823078467742e-05
0.005,0.015,0,4.07874397006907e-10
0.015,0.015,0,7.92785482737632e-10
0.025,0.015,0,1.81146611367637e-09
0.035,0.015,0,3.37183564213108e-09
0.045,0.015,0,7.08041687398212e-09
0.055,0.015,0,1.70031253379493e-08
0.065,0.015,0,2.99627094493897e-08
0.075,0.015,0,7.29275271740015e-08
0.085,0.015,0,1.1990083396593e-07
0.095,0.015,0,1.71151638764575e-07
0.105,0.015,0,3.07356223189945e-07
0.115,0.015,0,5.45616473054429e-07
0.125,0.015,0,8.9176499962852e-07
