x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,4.30013211232712e-42
0.015,0.005,0,7.85552349149698e-42
0.025,0.005,0,1.01482414770456e-40
0.035,0.005,0,2.23097870470738e-40
0.045,0.005,0,2.05173301870708e-39
0.055,0.005,0,1.19507722125554e-38
0.065,0.005,0,5.57334011884465e-38
0.075,0.005,0,1.69381606306314e-37
0.085,0.005,0,1.0342130244744e-36
0.095,0.005,0,1.07221910582595e-36
0.105,0.005,0,1.16258450151631e-36
0.115,0.005,0,2.05207487083438e-36
0.125,0.005,0,2.64138108471758e-36
0.135,0.005,0,8.86166963998588e-36
0.145,0.005,0,2.87943934829323e-35
0.155,0.005,0,1.48992460800706e-34
0.165,0.005,0,1.284121093201e-33
0.175,0.005,0,3.46878173719032e-33
0.185,0.005,0,4.77982932062746e-33
0.195,0.005,0,2.84389585090913e-32
0.205,0.005,0,6.6621979788187e-32
0.215,0.005,0,8.30006852573987e-32
0.225,0.005,0,3.2655010433768e-31
0.235,0.005,0,5.51658734206464e-31
0.245,0.005,0,5.53655763580462e-31
0.255,0.005,0,4.05025608666228e-31
0.265,0.005,0,5.77989086661847e-31
0.275,0.005,0,5.66393472396704e-31
0.285,0.005,0,3.4476160268224e-31
0.295,0.005,0,3.8039601538738e-31
0.305,0.005,0,1.84720285882142e-30
0.315,0.005,0,2.05353179598523e-30
0.325,0.005,0,5.78397730050997e-30
0.335,0.005,0,6.07617876064674e-30
0.345,0.005,0,1.05755471110683e-29
0.355,0.005,0,1.21501946554796e-29
0.365,0.005,0,1.17090604991677e-29
0.375,0.005,0,1.50862214341363e-30
0.385,0.005,0,1.44506355355323e-30
0.395,0.005,0,7.21213527185126e-32
0.405,0.005,0,4.15810355824635e-32
0.415,0.005,0,1.24944438068801e-31
0.425,0.005,0,2.68094104918896e-31
0.435,0.005,0,2.45166128831048e-30
0.445,0.005,0,1.53234878829329e-29
0.455,0.005,0,5.15885529421659e-29
0.465,0.005,0,1.80454467695739e-28
0.475,0.005,0,8.43288233790295e-28
0.485,0.005,0,4.37832056087692e-27
0.495,0.005,0,2.26289285728299e-26
0.505,0.005,0,1.51822765475223e-25
0.515,0.005,0,5.44866866257861e-25
0.525,0.005,0,2.5804792335197e-24
0.535,0.005,0,1.12465313269063e-23
0.545,0.005,0,2.07260560488157e-23
0.555,0.005,0,2.212063317157e-22
0.565,0.005,0,4.9908196181517e-22
0.575,0.005,0,3.55158257189623e-21
0.585,0.005,0,1.17025197597029e-20
0.595,0.005,0,8.14279711568112e-20
0.605,0.005,0,1.20062755445944e-19
0.615,0.005,0,8.72316375160635e-19
0.625,0.005,0,2.13797782929245e-18
0.635,0.005,0,2.9013074765732e-18
0.645,0.005,0,1.6145758015528e-17
0.655,0.005,0,1.97723682225388e-17
0.665,0.005,0,7.56740161710213e-17
0.675,0.005,0,1.08809733510235e-16
0.685,0.005,0,5.38719895085276e-16
0.695,0.005,0,3.55758992029809e-15
0.705,0.005,0,8.21377133987075e-15
0.715,0.005,0,6.13368463021822e-14
0.725,0.005,0,6.66332123677315e-14
0.735,0.005,0,1.44148314993399e-13
0.745,0.005,0,1.47152271472391e-13
0.755,0.005,0,8.42296033227384e-14
0.765,0.005,0,1.23887804342891e-13
0.775,0.005,0,5.13880151253797e-13
0.785,0.005,0,1.3294550333386e-12
0.795,0.005,0,1.3390135232424e-12
0.805,0.005,0,1.73790331745669e-12
0.815,0.005,0,2.88022212362294e-12
0.825,0.005,0,1.39911139948852e-11
0.835,0.005,0,1.95299876871688e-11
0.845,0.005,0,8.70229614670005e-12
0.855,0.005,0,7.99386620562749e-12
0.865,0.005,0,4.18984910737329e-12
0.875,0.005,0,1.64282873101939e-11
0.885,0.005,0,2.29348743283387e-11
0.895,0.005,0,6.7003510180745e-11
0.905,0.005,0,7.43992249944973e-11
0.915,0.005,0,6.95685393327377e-11
0.925,0.005,0,1.06483768191382e-11
0.935,0.005,0,1.05433884502422e-11
0.945,0.005,0,9.58523289637523e-12
0.955,0.005,0,1.89558126110333e-12
0.965,0.005,0,1.82736986333063e-12
0.975,0.005,0,5.16272734244071e-13
0.985,0.005,0,3.99055372536016e-13
0.995,0.005,0,5.15260279399717e-13
1.005,0.005,0,5.66027665108866e-13
1.015,0.005,0,6.78004222443383e-13
1.025,0.005,0,6.87512683122333e-13
1.035,0.005,0,6.30980869442392e-14
1.045,0.005,0,5.14558881608157e-14
1.055,0.005,0,3.98136893773922e-14
1.065,0.005,0,4.00584672190265e-15
1.075,0.005,0,3.17911339504274e-15
1.085,0.005,0,2.35240364040455e-16
1.095,0.005,0,7.69299695150862e-17
1.105,0.005,0,7.18993651447482e-17
1.115,0.005,0,3.63050275724952e-18
1.125,0.005,0,2.23606251277551e-18
1.135,0.005,0,1.66943009852743e-18
1.145,0.005,0,1.64223501515326e-18
1.155,0.005,0,6.56734647660179e-20
1.165,0.005,0,2.66443895696707e-20
1.175,0.005,0,1.34615672243289e-21
1.185,0.005,0,9.92741375127068e-22
1.195,0.005,0,3.04549679213849e-23
1.205,0.005,0,2.26521128061441e-23
1.215,0.005,0,8.76614369362622e-24
1.225,0.005,0,2.32957087277043e-25
1.235,0.005,0,1.2827735870463e-25
1.245,0.005,0,2.35976301322161e-26
1.255,0.005,0,1.14497374414735e-27
1.265,0.005,0,5.80115926699987e-28
1.275,0.005,0,8.24209253908236e-29
1.285,0.005,0,4.34646600597086e-30
1.295,0.005,0,1.2745197357203e-30
1.305,0.005,0,8.41446182348396e-32
1.315,0.005,0,3.6756578697347e-33
1.325,0.005,0,4.8130399901425e-34
1.335,0.005,0,4.62370011109383e-35
1.345,0.005,0,1.17691768734601e-35
1.355,0.005,0,2.3307019794587e-37
1.365,0.005,0,2.5922389363164e-39
1.375,0.005,0,1.10720359140397e-39
1.385,0.005,0,1.14794446405812e-41
1.395,0.005,0,5.58920524697258e-42
1.405,0.005,0,8.7237232747781e-43
1.415,0.005,0,2.61782655492708e-44
1.425,0.005,0,7.64117722383283e-45
1.435,0.005,0,8.70135078952589e-47
1.445,0.005,0,2.72609004541585e-47
1.455,0.005,0,1.80718677361291e-49
1.465,0.005,0,3.63250153310652e-50
1.475,0.005,0,7.35951742255561e-52
1.485,0.005,0,6.51765139434534e-53
1.495,0.005,0,2.99801599569248e-54
1.505,0.005,0,8.10620261111992e-55
1.515,0.005,0,7.03998463509235e-47
1.525,0.005,0,1.82333094821048e-46
1.535,0.005,0,2.08033421092668e-43
