x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,5.80488348440464e-71
0.015,0.005,0,3.31526332074497e-71
0.025,0.005,0,2.08513545273682e-69
0.035,0.005,0,3.25176329940982e-69
0.045,0.005,0,1.27457488991543e-67
0.055,0.005,0,4.85287056084965e-66
0.065,0.005,0,3.05902937942696e-65
0.075,0.005,0,4.74496953525695e-64
0.085,0.005,0,4.86132605977986e-63
0.095,0.005,0,4.87468368574756e-63
0.105,0.005,0,5.16319941660561e-63
0.115,0.005,0,6.47816341243302e-63
0.125,0.005,0,6.83581047602685e-63
0.135,0.005,0,3.93346533099744e-62
0.145,0.005,0,1.50732010815753e-61
0.155,0.005,0,5.94395521742113e-60
0.165,0.005,0,3.60726708603491e-58
0.175,0.005,0,1.40032749507498e-57
0.185,0.005,0,1.99205364373502e-57
0.195,0.005,0,8.65877977998599e-56
0.205,0.005,0,2.46979490447789e-55
0.215,0.005,0,3.19483648710545e-55
0.225,0.005,0,9.40130801163704e-54
0.235,0.005,0,1.8178047228511e-53
0.245,0.005,0,1.81966612994067e-53
0.255,0.005,0,1.21641502221171e-53
0.265,0.005,0,2.28106064679399e-53
0.275,0.005,0,2.27609883900725e-53
0.285,0.005,0,1.40992075095817e-53
0.295,0.005,0,1.59128388389484e-53
0.305,0.005,0,6.56079184746637e-52
0.315,0.005,0,7.59727062353739e-52
0.325,0.005,0,1.75194456122152e-50
0.335,0.005,0,1.89130290844574e-50
0.345,0.005,0,2.0796330527572e-49
0.355,0.005,0,2.90981548659002e-49
0.365,0.005,0,2.89768605237487e-49
0.375,0.005,0,3.70406884649937e-50
0.385,0.005,0,3.84976215043846e-50
0.395,0.005,0,1.26132998424209e-49
0.405,0.005,0,2.41128667854203e-49
0.415,0.005,0,7.3431171996372e-48
0.425,0.005,0,1.43467933747933e-47
0.435,0.005,0,4.69998129060648e-46
0.445,0.005,0,1.0961742015575e-44
0.455,0.005,0,2.77256454699679e-44
0.465,0.005,0,8.43595885191972e-44
0.475,0.005,0,3.03169240669359e-43
0.485,0.005,0,4.31267913789009e-42
0.495,0.005,0,2.00758212882973e-41
0.505,0.005,0,5.9081616601851e-40
0.515,0.005,0,1.28739913641543e-39
0.525,0.005,0,1.49355196901837e-38
0.535,0.005,0,5.68348395475094e-38
0.545,0.005,0,8.87301466219446e-38
0.555,0.005,0,2.56710227747709e-36
0.565,0.005,0,8.1490198793489e-36
0.575,0.005,0,1.16344281056332e-34
0.585,0.005,0,7.04317941881795e-34
0.595,0.005,0,9.83426292433938e-33
0.605,0.005,0,1.43159483528783e-32
0.615,0.005,0,3.41712913929245e-31
0.625,0.005,0,8.97083984804014e-31
0.635,0.005,0,1.17934778822297e-30
0.645,0.005,0,1.9470604499309e-29
0.655,0.005,0,2.09188966785617e-29
0.665,0.005,0,1.07745352063099e-28
0.675,0.005,0,1.46327837826473e-28
0.685,0.005,0,2.01980624821505e-27
0.695,0.005,0,4.5797834326533e-26
0.705,0.005,0,1.21278596785332e-25
0.715,0.005,0,3.4096521742366e-24
0.725,0.005,0,3.40681334646989e-24
0.735,0.005,0,3.48082213628115e-24
0.745,0.005,0,3.44759081155776e-24
0.755,0.005,0,1.5723242192575e-24
0.765,0.005,0,1.30579547066195e-24
0.775,0.005,0,2.03233940007261e-23
0.785,0.005,0,6.95574515546303e-24
0.795,0.005,0,6.83999120030467e-24
0.805,0.005,0,8.3269999331487e-24
0.815,0.005,0,1.41624534703044e-23
0.825,0.005,0,2.3091537669513e-22
0.835,0.005,0,3.52682907306889e-22
0.845,0.005,0,1.03809500190248e-22
0.855,0.005,0,9.25061411667685e-23
0.865,0.005,0,3.83673337853223e-23
0.875,0.005,0,2.32030577446854e-22
0.885,0.005,0,3.39908161415903e-22
0.895,0.005,0,2.81733092937878e-21
0.905,0.005,0,3.3231766017353e-21
0.915,0.005,0,3.15366620238406e-21
0.925,0.005,0,1.23669192112814e-22
0.935,0.005,0,1.23137161163636e-22
0.945,0.005,0,9.0442861737025e-23
0.955,0.005,0,1.45040652765845e-23
0.965,0.005,0,1.43300780244422e-23
0.975,0.005,0,4.03748713443073e-24
0.985,0.005,0,3.19342486890156e-24
0.995,0.005,0,1.89999493557166e-24
1.005,0.005,0,1.68910511160061e-24
1.015,0.005,0,1.24119354769914e-24
1.025,0.005,0,1.24175566904314e-24
1.035,0.005,0,2.57700081986731e-26
1.045,0.005,0,2.44417230223955e-26
1.055,0.005,0,2.31134378461179e-26
1.065,0.005,0,5.71270685268699e-27
1.075,0.005,0,5.67327641738322e-27
1.085,0.005,0,2.02859723635329e-28
1.095,0.005,0,3.41983989899464e-29
1.105,0.005,0,4.054216543558e-29
1.115,0.005,0,4.07967285436109e-31
1.125,0.005,0,2.8926758040848e-31
1.135,0.005,0,2.4543643043231e-31
1.145,0.005,0,2.44465988477311e-31
1.155,0.005,0,1.77116697915534e-33
1.165,0.005,0,6.95657507237133e-34
1.175,0.005,0,1.0938294874615e-35
1.185,0.005,0,9.22836632330825e-36
1.195,0.005,0,3.65332433956409e-37
1.205,0.005,0,3.5160701105368e-37
1.215,0.005,0,5.11232221946012e-37
1.225,0.005,0,5.53813856906958e-39
1.235,0.005,0,4.8906219308463e-39
1.245,0.005,0,4.24310529262301e-39
1.255,0.005,0,5.65183260379117e-41
1.265,0.005,0,2.19635667798143e-41
1.275,0.005,0,1.61889815235092e-41
1.285,0.005,0,5.45503416298764e-44
1.295,0.005,0,2.67425734747961e-44
1.305,0.005,0,2.78638311509707e-45
1.315,0.005,0,3.51694895769412e-47
1.325,0.005,0,4.32717295700071e-48
1.335,0.005,0,1.25659633287796e-49
1.345,0.005,0,3.28781387871087e-50
1.355,0.005,0,1.42627360272513e-52
1.365,0.005,0,3.85018256351824e-55
1.375,0.005,0,1.72291340588468e-55
1.385,0.005,0,1.24913363365502e-57
1.395,0.005,0,1.03882198085594e-57
1.405,0.005,0,2.37365735936102e-58
1.415,0.005,0,2.05462172421208e-60
1.425,0.005,0,1.12919167138354e-60
1.435,0.005,0,2.21592722907594e-63
1.445,0.005,0,1.03889119388694e-63
1.455,0.005,0,1.76791879078388e-66
1.465,0.005,0,3.49778071379032e-67
1.475,0.005,0,2.08812192213197e-69
1.485,0.005,0,1.93352956227822e-70
1.495,0.005,0,1.03923106226832e-71
1.505,0.005,0,2.66873150102487e-67
1.515,0.005,0,4.26461403988264e-66
1.525,0.005,0,1.02366266356839e-65
1.535,0.005,0,7.1241120890401e-62
1.545,0.005,0,1.55721688821482e-61
1.555,0.005,0,1.96429420500023e-61
1.565,0.005,0,9.27060893539234e-61
1.575,0.005,0,9.27447426716452e-61
1.585,0.005,0,4.66263351656245e-60
1.595,0.005,0,4.66558195793235e-60
1.605,0.005,0,4.09133874787393e-58
1.615,0.005,0,4.11740593634399e-58
1.625,0.005,0,7.51167632317749e-57
1.635,0.005,0,7.64232969765163e-57
1.645,0.005,0,1.4260695954428e-56
1.655,0.005,0,8.16321675549311e-56
1.665,0.005,0,8.16886576201753e-56
1.675,0.005,0,1.96208418816823e-55
1.685,0.005,0,2.01019477023935e-55
1.695,0.005,0,7.34080878622723e-55
1.705,0.005,0,3.83902168826615e-54
1.715,0.005,0,3.84240301399858e-54
1.725,0.005,0,5.93185051864312e-54
1.735,0.005,0,6.48460214093075e-54
1.745,0.005,0,1.9430052315215e-53
1.755,0.005,0,2.99072226272163e-53
1.765,0.005,0,3.9927112871211e-53
1.775,0.005,0,5.72868232582262e-53
1.785,0.005,0,5.67996850374125e-53
1.795,0.005,0,5.53910291822309e-53
1.805,0.005,0,5.53903434155199e-53
1.815,0.005,0,7.7756625643194e-53
1.825,0.005,0,7.77995451563552e-53
1.835,0.005,0,1.67327339564354e-52
1.845,0.005,0,1.90864686855094e-52
1.855,0.005,0,2.07694219360109e-52
1.865,0.005,0,2.81041108977589e-52
1.875,0.005,0,2.81167761364651e-52
1.885,0.005,0,2.63088724500896e-49
1.895,0.005,0,2.79911949677974e-49
1.905,0.005,0,2.69833519500087e-49
1.915,0.005,0,7.31020211977144e-50
1.925,0.005,0,8.96574057972729e-50
1.935,0.005,0,1.05771177567085e-49
1.945,0.005,0,4.17559945644969e-49
1.955,0.005,0,4.18629022592089e-49
1.965,0.005,0,4.53527044499022e-48
1.975,0.005,0,4.3354181793717e-48
1.985,0.005,0,2.68544051297455e-49
1.995,0.005,0,1.04405135565987e-49
2.005,0.005,0,2.43246992975662e-50
2.015,0.005,0,4.21701186916042e-50
2.025,0.005,0,1.28245484553838e-49
2.035,0.005,0,1.2852882301473e-49
2.045,0.005,0,1.59997825529489e-51
2.055,0.005,0,1.08012694278561e-51
2.065,0.005,0,2.75937368071033e-53
2.075,0.005,0,2.81144841277731e-53
2.085,0.005,0,3.5608218772856e-53
2.095,0.005,0,8.52709828559954e-54
2.105,0.005,0,2.99882611672472e-54
2.115,0.005,0,4.62115476562138e-54
2.125,0.005,0,4.84372527463907e-54
2.135,0.005,0,6.03868501064592e-54
2.145,0.005,0,6.0433796908428e-54
2.155,0.005,0,3.82864721469831e-51
2.165,0.005,0,3.84464230241473e-51
2.175,0.005,0,1.21557462472006e-49
2.185,0.005,0,3.15536686958726e-49
2.195,0.005,0,3.02868053488306e-49
2.205,0.005,0,9.67012679490721e-51
2.215,0.005,0,8.95261015301806e-51
2.225,0.005,0,1.01894158302314e-50
2.235,0.005,0,1.02039935207862e-50
2.245,0.005,0,1.28391269884894e-50
2.255,0.005,0,1.17347323624225e-51
2.265,0.005,0,1.13435310133478e-51
2.275,0.005,0,1.39907754822374e-51
2.285,0.005,0,1.69182654053094e-51
2.295,0.005,0,2.97256850981855e-51
2.305,0.005,0,6.32593207524725e-51
2.315,0.005,0,6.33821774292306e-51
2.325,0.005,0,2.25705853459178e-50
2.335,0.005,0,2.26584493358712e-50
2.345,0.005,0,3.77626616793851e-51
2.355,0.005,0,3.69719000409009e-51
2.365,0.005,0,7.22766174183859e-51
2.375,0.005,0,7.58063849591832e-51
2.385,0.005,0,2.16238445326138e-51
2.395,0.005,0,1.96757615065512e-52
2.405,0.005,0,1.77856348389244e-52
2.415,0.005,0,2.30797416887124e-50
2.425,0.005,0,6.56751965740744e-50
2.435,0.005,0,6.58744527348756e-50
2.445,0.005,0,9.46726155687374e-50
2.455,0.005,0,1.00994112124688e-49
2.465,0.005,0,9.98494514108664e-50
2.475,0.005,0,9.70830627803836e-51
2.485,0.005,0,9.39632136924235e-51
2.495,0.005,0,2.78845310931124e-51
2.505,0.005,0,1.75661961544546e-51
2.515,0.005,0,1.70942165342962e-51
2.525,0.005,0,5.62210987503589e-51
2.535,0.005,0,5.65254178521182e-51
2.545,0.005,0,8.00843094915494e-51
2.555,0.005,0,8.02571651449639e-51
2.565,0.005,0,4.68070917799981e-51
2.575,0.005,0,2.0255819127567e-52
2.585,0.005,0,1.72331127314676e-53
2.595,0.005,0,1.12906099223143e-50
2.605,0.005,0,4.40487134862127e-50
2.615,0.005,0,4.43403668097254e-50
2.625,0.005,0,4.80002184785389e-51
2.635,0.005,0,4.54471647929995e-51
