x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,1.06564033958914e-57
0.015,0.005,0,1.57770304698012e-57
0.025,0.005,0,5.96273445201218e-56
0.035,0.005,0,1.37532975406045e-55
0.045,0.005,0,3.84418956710722e-54
0.055,0.005,0,5.79726580212773e-53
0.065,0.005,0,3.38089240598972e-52
0.075,0.005,0,2.23413949024274e-51
0.085,0.005,0,1.97802153719789e-50
0.095,0.005,0,1.99634429964131e-50
0.105,0.005,0,2.12545114569587e-50
0.115,0.005,0,3.14317379781464e-50
0.125,0.005,0,3.68049423348819e-50
0.135,0.005,0,2.10382206566593e-49
0.145,0.005,0,7.96009988151675e-49
0.155,0.005,0,1.17107795512336e-47
0.165,0.005,0,2.7006984307108e-46
0.175,0.005,0,9.51123386579994e-46
0.185,0.005,0,1.34417851872083e-45
0.195,0.005,0,2.18262306399234e-44
0.205,0.005,0,5.93000516700086e-44
0.215,0.005,0,7.61196986613671e-44
0.225,0.005,0,8.32238546948627e-43
0.235,0.005,0,1.55530370738852e-42
0.245,0.005,0,1.55942793114915e-42
0.255,0.005,0,1.0737562985514e-42
0.265,0.005,0,1.89834880761028e-42
0.275,0.005,0,1.88663143130541e-42
0.285,0.005,0,1.16721640257437e-42
0.295,0.005,0,1.31421122706718e-42
0.305,0.005,0,1.94120928582047e-41
0.315,0.005,0,2.24092107912176e-41
0.325,0.005,0,1.90870144199732e-40
0.335,0.005,0,2.06965105820375e-40
0.345,0.005,0,9.61505987181937e-40
0.355,0.005,0,1.28152386579359e-39
0.365,0.005,0,1.26606559150487e-39
0.375,0.005,0,1.65503542440436e-40
0.385,0.005,0,1.63145728234933e-40
0.395,0.005,0,6.75256961020955e-42
0.405,0.005,0,3.51324178801193e-42
0.415,0.005,0,3.78499696394015e-41
0.425,0.005,0,7.37990215636983e-41
0.435,0.005,0,1.30827083813638e-39
0.445,0.005,0,1.67898323313268e-38
0.455,0.005,0,4.36142860124857e-38
0.465,0.005,0,1.27571964618812e-37
0.475,0.005,0,4.65905188049042e-37
0.485,0.005,0,3.96545738740174e-36
0.495,0.005,0,1.85395603288058e-35
0.505,0.005,0,2.88682888204148e-34
0.515,0.005,0,7.24465619541296e-34
0.525,0.005,0,5.4907545082685e-33
0.535,0.005,0,2.23115047275089e-32
0.545,0.005,0,3.75312124800228e-32
0.555,0.005,0,7.24730441747625e-31
0.565,0.005,0,1.88306719800859e-30
0.575,0.005,0,2.05099523284388e-29
0.585,0.005,0,9.39286598052956e-29
0.595,0.005,0,1.01864205766714e-27
0.605,0.005,0,1.48704394682733e-27
0.615,0.005,0,2.16679285046525e-26
0.625,0.005,0,5.57394542860241e-26
0.635,0.005,0,7.38354075174855e-26
0.645,0.005,0,7.6692226619588e-25
0.655,0.005,0,8.57314427899951e-25
0.665,0.005,0,4.02239470303968e-24
0.675,0.005,0,5.5169961122198e-24
0.685,0.005,0,4.82821892634417e-23
0.695,0.005,0,6.61127871402019e-22
0.705,0.005,0,1.67188659212717e-21
0.715,0.005,0,2.7690210371613e-20
0.725,0.005,0,2.79195767041975e-20
0.735,0.005,0,3.67030991114685e-20
0.745,0.005,0,3.67708829958682e-20
0.755,0.005,0,1.71110422212202e-20
0.765,0.005,0,1.53326059638997e-20
0.775,0.005,0,1.41348204693683e-19
0.785,0.005,0,1.04979824697392e-19
0.795,0.005,0,1.03940096156076e-19
0.805,0.005,0,1.27439679535926e-19
0.815,0.005,0,2.13266335647576e-19
0.825,0.005,0,2.19181377024577e-18
0.835,0.005,0,3.27247500602735e-18
0.845,0.005,0,1.08037791705065e-18
0.855,0.005,0,9.73907346110156e-19
0.865,0.005,0,4.29605515317499e-19
0.875,0.005,0,2.2881475963724e-18
0.885,0.005,0,3.3113827351601e-18
0.895,0.005,0,1.82835958388179e-17
0.905,0.005,0,2.12254567551773e-17
0.915,0.005,0,2.00674082848196e-17
0.925,0.005,0,1.28863886971701e-18
0.935,0.005,0,1.28031077717013e-18
0.945,0.005,0,9.63614929823501e-19
0.955,0.005,0,1.81558784159362e-19
0.965,0.005,0,1.78578924457949e-19
0.975,0.005,0,5.38937760386778e-20
0.985,0.005,0,4.37094422602037e-20
0.995,0.005,0,3.35745485461792e-20
1.005,0.005,0,3.26868961755389e-20
1.015,0.005,0,3.08250507718643e-20
1.025,0.005,0,3.08895571992829e-20
1.035,0.005,0,7.86673151572121e-22
1.045,0.005,0,6.98820646956539e-22
1.055,0.005,0,6.10968142340958e-22
1.065,0.005,0,1.09002328395821e-22
1.075,0.005,0,1.06375611257526e-22
1.085,0.005,0,4.51833477716318e-24
1.095,0.005,0,9.94378825863752e-25
1.105,0.005,0,1.07208347552453e-24
1.115,0.005,0,1.87768863996868e-26
1.125,0.005,0,1.25857253622285e-26
1.135,0.005,0,1.05717691454129e-26
1.145,0.005,0,1.05152837829892e-26
1.155,0.005,0,1.38635829008564e-28
1.165,0.005,0,5.47748000101573e-29
1.175,0.005,0,1.22936465216315e-30
1.185,0.005,0,9.8455019747922e-31
1.195,0.005,0,2.23480229175179e-32
1.205,0.005,0,1.96117959827129e-32
1.215,0.005,0,1.54551724514606e-32
1.225,0.005,0,2.60219392368311e-34
1.235,0.005,0,2.12959055561636e-34
1.245,0.005,0,1.65698718754961e-34
1.255,0.005,0,3.16781761457747e-36
1.265,0.005,0,1.62086719630533e-36
1.275,0.005,0,1.15197549481062e-36
1.285,0.005,0,7.70982705431948e-39
1.295,0.005,0,3.74233274579835e-39
1.305,0.005,0,3.98393020018794e-40
1.315,0.005,0,9.47884913185803e-42
1.325,0.005,0,1.19639699975235e-42
1.335,0.005,0,6.29601501035967e-44
1.345,0.005,0,1.64353788378319e-44
1.355,0.005,0,1.38711815540955e-46
1.365,0.005,0,7.18847831407115e-49
1.375,0.005,0,3.17675250308774e-49
1.385,0.005,0,2.35503116455068e-51
1.395,0.005,0,1.59254162872755e-51
1.405,0.005,0,3.26920960183281e-52
1.415,0.005,0,5.33362924344945e-54
1.425,0.005,0,2.6307585137411e-54
1.435,0.005,0,1.0903044617712e-56
1.445,0.005,0,4.82213272352844e-57
1.455,0.005,0,1.66279418870723e-59
1.465,0.005,0,3.31301315607829e-60
1.475,0.005,0,3.98188619410391e-62
1.485,0.005,0,3.5898495341863e-63
1.495,0.005,0,8.8178587015812e-65
1.505,0.005,0,3.94798235847823e-65
1.515,0.005,0,1.37083782904457e-56
1.525,0.005,0,3.55042115213816e-56
1.535,0.005,0,1.07263872118285e-52
1.545,0.005,0,2.03384170652865e-52
1.555,0.005,0,2.57134846751183e-52
1.565,0.005,0,1.21946281423266e-51
1.575,0.005,0,1.22085776324442e-51
1.585,0.005,0,6.14303475303299e-51
1.595,0.005,0,6.15371709596579e-51
1.605,0.005,0,2.64431769255254e-49
1.615,0.005,0,2.67646440019123e-49
1.625,0.005,0,3.51380941033946e-48
1.635,0.005,0,3.58769150079518e-48
1.645,0.005,0,6.35759144086903e-48
1.655,0.005,0,3.45492292801232e-47
1.665,0.005,0,3.4609108360602e-47
1.675,0.005,0,8.11098125191865e-47
1.685,0.005,0,8.33612033832117e-47
1.695,0.005,0,3.00746061835739e-46
1.705,0.005,0,1.43472630263521e-45
1.715,0.005,0,1.43777786757261e-45
1.725,0.005,0,2.10329097449553e-45
1.735,0.005,0,2.28082141026481e-45
1.745,0.005,0,6.7431889094375e-45
1.755,0.005,0,1.03663323670167e-44
1.765,0.005,0,1.37993732667013e-44
1.775,0.005,0,1.97389251914108e-44
1.785,0.005,0,1.9093620313209e-44
1.795,0.005,0,1.72712287331972e-44
1.805,0.005,0,1.72654753869517e-44
1.815,0.005,0,2.35883261676872e-44
1.825,0.005,0,2.36189246540909e-44
1.835,0.005,0,5.65754035676651e-44
1.845,0.005,0,6.5326824455924e-44
1.855,0.005,0,7.1886814063904e-44
1.865,0.005,0,1.0012582383023e-43
1.875,0.005,0,1.00252992749126e-43
1.885,0.005,0,1.6247676081664e-41
1.895,0.005,0,1.73173253177404e-41
1.905,0.005,0,1.67769656341967e-41
1.915,0.005,0,1.02029070935363e-41
1.925,0.005,0,1.25235051145112e-41
1.935,0.005,0,1.43022957164164e-41
1.945,0.005,0,4.84108922833533e-41
1.955,0.005,0,4.86749540397418e-41
1.965,0.005,0,5.23920209055211e-40
1.975,0.005,0,5.04905753284194e-40
1.985,0.005,0,6.58524086837092e-41
1.995,0.005,0,2.5760089410493e-41
2.005,0.005,0,5.89538309457324e-42
2.015,0.005,0,9.59725710427895e-42
2.025,0.005,0,2.81968158559419e-41
2.035,0.005,0,2.83271942580928e-41
2.045,0.005,0,7.65194448828101e-43
2.055,0.005,0,5.23612927931079e-43
2.065,0.005,0,1.83957098809261e-44
2.075,0.005,0,1.60157899166269e-44
2.085,0.005,0,1.79921411592317e-44
2.095,0.005,0,4.51860130865026e-45
2.105,0.005,0,1.70049208175248e-45
2.115,0.005,0,2.42069787685105e-45
2.125,0.005,0,2.53840728701357e-45
2.135,0.005,0,3.16404473461198e-45
2.145,0.005,0,3.1688681987826e-45
2.155,0.005,0,4.70869456624197e-43
2.165,0.005,0,4.73986440345397e-43
2.175,0.005,0,6.25806572621183e-42
2.185,0.005,0,1.58188682467592e-41
2.195,0.005,0,1.52712712825104e-41
2.205,0.005,0,1.09384852657554e-42
2.215,0.005,0,1.05695022775424e-42
2.225,0.005,0,1.24480435068692e-42
2.235,0.005,0,1.24936244711278e-42
2.245,0.005,0,1.84793276279374e-42
2.255,0.005,0,6.99268833949284e-43
2.265,0.005,0,6.93035314951852e-43
2.275,0.005,0,8.16036626373445e-43
2.285,0.005,0,9.45914884956031e-43
2.295,0.005,0,1.58928977564808e-42
2.305,0.005,0,3.28033214191781e-42
2.315,0.005,0,3.29591174674051e-42
2.325,0.005,0,1.16882404242339e-41
2.335,0.005,0,1.18009929486177e-41
2.345,0.005,0,1.80286361023623e-42
2.355,0.005,0,1.69840617900304e-42
2.365,0.005,0,2.75664483207808e-42
2.375,0.005,0,2.86812224018695e-42
2.385,0.005,0,8.96040759741081e-43
2.395,0.005,0,1.72251789490054e-43
2.405,0.005,0,1.56217680331247e-43
2.415,0.005,0,8.30069210210908e-42
2.425,0.005,0,2.30509728671782e-41
2.435,0.005,0,2.32177672545882e-41
2.445,0.005,0,3.35816161441569e-41
2.455,0.005,0,3.59498763988907e-41
2.465,0.005,0,3.55278310986964e-41
2.475,0.005,0,1.46362257908881e-42
2.485,0.005,0,1.15891737803137e-42
2.495,0.005,0,2.61322078253281e-43
2.505,0.005,0,5.08883159279304e-44
2.515,0.005,0,3.97902806408147e-44
2.525,0.005,0,1.28838980952934e-43
2.535,0.005,0,1.30027593854564e-43
2.545,0.005,0,1.85634212136518e-43
2.555,0.005,0,1.86343503123509e-43
2.565,0.005,0,1.14612578167587e-43
2.575,0.005,0,7.42840860518818e-45
2.585,0.005,0,9.38595126610063e-46
2.595,0.005,0,3.11169604518095e-43
2.605,0.005,0,1.2153865231197e-42
2.615,0.005,0,1.23062956364709e-42
2.625,0.005,0,2.50569565788876e-43
2.635,0.005,0,2.38681563945469e-43
2.645,0.005,0,1.58964772988399e-42
2.655,0.005,0,1.74664133586874e-42
2.665,0.005,0,3.26670476609582e-43
2.675,0.005,0,1.11352820776063e-43
2.685,0.005,0,2.14303569399075e-43
2.695,0.005,0,2.3612903056442e-43
2.705,0.005,0,6.14947987824252e-44
2.715,0.005,0,1.28822437010606e-44
2.725,0.005,0,1.10659938390996e-44
2.735,0.005,0,1.09103048613666e-44
2.745,0.005,0,5.07778241668243e-45
2.755,0.005,0,5.62190182556819e-46
2.765,0.005,0,2.22275475189384e-45
2.775,0.005,0,2.84251667929357e-45
2.785,0.005,0,2.82634732444896e-45
2.795,0.005,0,1.47183094326342e-44
2.805,0.005,0,3.26123243807947e-44
2.815,0.005,0,3.76841942147083e-43
2.825,0.005,0,6.05250225013216e-43
2.835,0.005,0,1.89861733921663e-42
2.845,0.005,0,1.92105219570596e-42
2.855,0.005,0,1.39961803387327e-42
0.005,0.015,0,3.24384966064752e-57
0.015,0.015,0,7.92717841454145e-56
0.025,0.015,0,1.51698069352362e-55
0.035,0.015,0,1.58667875231653e-54
0.045,0.015,0,9.00735459757372e-54
0.055,0.015,0,3.11734998973757e-52
0.065,0.015,0,6.73076963857414e-52
0.075,0.015,0,2.8412965494409e-50
0.085,0.015,0,5.81917404896373e-50
0.095,0.015,0,5.83749681140716e-50
0.105,0.015,0,9.02198856452834e-50
0.115,0.015,0,1.05381112698814e-49
