x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,2.79388208486804e-47
0.015,0.005,0,5.22522735618342e-47
0.025,0.005,0,9.66842325367098e-46
0.035,0.005,0,2.19720142824703e-45
0.045,0.005,0,2.90526370350652e-44
0.055,0.005,0,2.25494492741608e-43
0.065,0.005,0,1.15535627819963e-42
0.075,0.005,0,4.37673672790573e-42
0.085,0.005,0,3.10429913994661e-41
0.095,0.005,0,3.17858233040352e-41
0.105,0.005,0,3.41832546105671e-41
0.115,0.005,0,5.76880839757196e-41
0.125,0.005,0,7.25080504364974e-41
0.135,0.005,0,2.95275576721452e-40
0.145,0.005,0,1.02569866170277e-39
0.155,0.005,0,7.33310097675237e-39
0.165,0.005,0,8.56496943877401e-38
0.175,0.005,0,2.5828620633216e-37
0.185,0.005,0,3.59966344677671e-37
0.195,0.005,0,2.91950926931979e-36
0.205,0.005,0,7.2877002826734e-36
0.215,0.005,0,9.20116182693556e-36
0.225,0.005,0,4.97484454406311e-35
0.235,0.005,0,8.78064391549881e-35
0.245,0.005,0,8.81491183575373e-35
0.255,0.005,0,6.30396921902976e-35
0.265,0.005,0,9.86299247169769e-35
0.275,0.005,0,9.72854917008625e-35
0.285,0.005,0,5.96604732837599e-35
0.295,0.005,0,6.64305445240721e-35
0.305,0.005,0,4.61953247874898e-34
0.315,0.005,0,5.21861884981335e-34
0.325,0.005,0,2.09770834020852e-33
0.335,0.005,0,2.23238806326294e-33
0.345,0.005,0,5.23699426903602e-33
0.355,0.005,0,6.4114862248893e-33
0.365,0.005,0,6.24928694747903e-33
0.375,0.005,0,8.01861704813026e-34
0.385,0.005,0,7.78086787711266e-34
0.395,0.005,0,3.36740210209945e-35
0.405,0.005,0,1.50871097184316e-35
0.415,0.005,0,4.4032829099868e-35
0.425,0.005,0,8.76086257142344e-35
0.435,0.005,0,9.73251545827487e-34
0.445,0.005,0,7.75131166520981e-33
0.455,0.005,0,2.20471592600796e-32
0.465,0.005,0,6.83673495565352e-32
0.475,0.005,0,2.82838113047862e-31
0.485,0.005,0,1.70176828634846e-30
0.495,0.005,0,8.50429691033763e-30
0.505,0.005,0,7.52948395697689e-29
0.515,0.005,0,2.42132174755757e-28
0.525,0.005,0,1.35043376496712e-27
0.535,0.005,0,5.897033616843e-27
0.545,0.005,0,1.06556842846784e-26
0.555,0.005,0,1.42336733101417e-25
0.565,0.005,0,3.36273158628092e-25
0.575,0.005,0,2.81816743244221e-24
0.585,0.005,0,1.03553854130192e-23
0.595,0.005,0,8.56149002160855e-23
0.605,0.005,0,1.25554001655051e-22
0.615,0.005,0,1.17150380679534e-21
0.625,0.005,0,2.92721935425621e-21
0.635,0.005,0,3.92194684260724e-21
0.645,0.005,0,2.71016581244103e-20
0.655,0.005,0,3.18494910172486e-20
0.665,0.005,0,1.31563986694905e-19
0.675,0.005,0,1.83970030701586e-19
0.685,0.005,0,1.09590633045937e-18
0.695,0.005,0,9.44736212684947e-18
0.705,0.005,0,2.25657916004025e-17
0.715,0.005,0,2.26882496248284e-16
0.725,0.005,0,2.35670780720255e-16
0.735,0.005,0,4.17014984168217e-16
0.745,0.005,0,4.2153164025021e-16
0.755,0.005,0,2.11968096555477e-16
0.765,0.005,0,2.40085198904332e-16
0.775,0.005,0,1.34406865302616e-15
0.785,0.005,0,2.36341336114787e-15
0.795,0.005,0,2.36358659771007e-15
