x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,3.53782350528464e-33
0.015,0.005,0,5.9658910411682e-33
0.025,0.005,0,4.28205144916502e-32
0.035,0.005,0,8.67635316738454e-32
0.045,0.005,0,4.43270412716933e-31
0.055,0.005,0,1.68379860612971e-30
0.065,0.005,0,6.33345176735663e-30
0.075,0.005,0,1.42724277097412e-29
0.085,0.005,0,6.35331404653226e-29
0.095,0.005,0,6.77882004145378e-29
0.105,0.005,0,7.47489021683821e-29
0.115,0.005,0,1.3104236944686e-28
0.125,0.005,0,1.70325759873323e-28
0.135,0.005,0,4.05937457575936e-28
0.145,0.005,0,1.11590487100056e-27
0.155,0.005,0,3.49818140172947e-27
0.165,0.005,0,1.86648991927806e-26
0.175,0.005,0,3.94336766247285e-26
0.185,0.005,0,5.26971533088921e-26
0.195,0.005,0,1.94923217098226e-25
0.205,0.005,0,3.93076194702838e-25
0.215,0.005,0,4.72482991637113e-25
0.225,0.005,0,1.1413742050396e-24
0.235,0.005,0,1.73367681823923e-24
0.245,0.005,0,1.7292693009063e-24
0.255,0.005,0,1.30323325122881e-24
0.265,0.005,0,1.4930840246441e-24
0.275,0.005,0,1.4352762074203e-24
0.285,0.005,0,8.56346655472437e-25
0.295,0.005,0,9.17853949303003e-25
0.305,0.005,0,2.48913612538868e-24
0.315,0.005,0,2.63197284852441e-24
0.325,0.005,0,4.01334663214484e-24
0.335,0.005,0,4.01909399999119e-24
0.345,0.005,0,3.95614429307395e-24
0.355,0.005,0,3.72776847834366e-24
0.365,0.005,0,3.48271946307365e-24
0.375,0.005,0,4.14073699950517e-25
0.385,0.005,0,3.92184915480683e-25
0.395,0.005,0,1.05784845030447e-25
0.405,0.005,0,2.64954954095253e-25
0.415,0.005,0,1.4061839123239e-24
0.425,0.005,0,4.38290560942107e-24
0.435,0.005,0,3.22448485487805e-23
0.445,0.005,0,1.4371261392557e-22
0.455,0.005,0,6.44261267675552e-22
0.465,0.005,0,2.21645901545904e-21
0.475,0.005,0,1.05358846288621e-20
0.485,0.005,0,4.06812295224368e-20
0.495,0.005,0,1.94381233988865e-19
0.505,0.005,0,8.43030120212523e-19
0.515,0.005,0,3.04481891089318e-18
0.525,0.005,0,1.03230301793131e-17
0.535,0.005,0,4.04838365232225e-17
0.545,0.005,0,7.49131380085789e-17
0.555,0.005,0,4.9711750271918e-16
0.565,0.005,0,1.03919567235091e-15
0.575,0.005,0,5.18018357387139e-15
0.585,0.005,0,1.3884642652475e-14
0.595,0.005,0,6.6430969263263e-14
0.605,0.005,0,1.01300432297961e-13
0.615,0.005,0,4.48573368039649e-13
0.625,0.005,0,1.06941815019162e-12
0.635,0.005,0,1.54674616609814e-12
0.645,0.005,0,5.95970322414819e-12
0.655,0.005,0,8.55678810139804e-12
0.665,0.005,0,2.88102887548238e-11
0.675,0.005,0,4.74136546044699e-11
0.685,0.005,0,1.77440066638528e-10
0.695,0.005,0,6.89328619614575e-10
0.705,0.005,0,1.4975194721218e-09
0.715,0.005,0,6.00125337617725e-09
0.725,0.005,0,7.74859033504419e-09
0.735,0.005,0,1.91104328140625e-08
0.745,0.005,0,2.26391104541235e-08
0.755,0.005,0,2.69671406008321e-08
0.765,0.005,0,6.08472680671024e-08
0.775,0.005,0,1.53618763420186e-07
0.785,0.005,0,4.22383930044711e-07
0.795,0.005,0,4.38020055905511e-07
0.805,0.005,0,6.11268544546795e-07
0.815,0.005,0,9.58821898005123e-07
0.825,0.005,0,2.39447604092473e-06
0.835,0.005,0,2.98589578596247e-06
0.845,0.005,0,1.94823266847928e-06
0.855,0.005,0,1.80844904296104e-06
0.865,0.005,0,1.27618460186945e-06
0.875,0.005,0,3.49073279786136e-06
0.885,0.005,0,4.57324408210286e-06
0.895,0.005,0,8.05821155649326e-06
0.905,0.005,0,8.34514909595354e-06
0.915,0.005,0,7.63876480565083e-06
0.925,0.005,0,2.6381185217104e-06
0.935,0.005,0,2.6522521374309e-06
0.945,0.005,0,2.7745717765017e-06
0.955,0.005,0,7.06870531015639e-07
0.965,0.005,0,6.27812989767508e-07
0.975,0.005,0,1.95686823855588e-07
0.985,0.005,0,1.37494950162937e-07
0.995,0.005,0,1.1231372627289e-07
1.005,0.005,0,1.2636184925884e-07
1.015,0.005,0,1.64484522629538e-07
1.025,0.005,0,1.73301947921436e-07
1.035,0.005,0,4.93878589919835e-08
1.045,0.005,0,3.95224655768761e-08
1.055,0.005,0,2.96570721617687e-08
1.065,0.005,0,5.4226973168852e-09
1.075,0.005,0,3.53285151344752e-09
1.085,0.005,0,5.45404002876066e-10
1.095,0.005,0,2.00414420567111e-10
1.105,0.005,0,1.3910659193972e-10
1.115,0.005,0,1.3485187856455e-11
1.125,0.005,0,5.54657117343419e-12
1.135,0.005,0,1.96368380659694e-12
1.145,0.005,0,1.61247145632331e-12
1.155,0.005,0,1.63540242313732e-13
1.165,0.005,0,6.7558606879782e-14
1.175,0.005,0,7.11802313321409e-15
1.185,0.005,0,4.88211421067114e-15
1.195,0.005,0,3.07444218982665e-16
1.205,0.005,0,2.1771967439787e-16
1.215,0.005,0,8.06049899409869e-17
1.225,0.005,0,4.8874925797328e-18
1.235,0.005,0,2.66820238193062e-18
1.245,0.005,0,4.48912184128441e-19
1.255,0.005,0,4.46303654613546e-20
1.265,0.005,0,2.22844453792749e-20
1.275,0.005,0,1.23591343758611e-21
1.285,0.005,0,2.89141403785691e-22
1.295,0.005,0,6.89441945626976e-23
1.305,0.005,0,3.41934540628262e-24
1.315,0.005,0,1.06292616799467e-25
1.325,0.005,0,1.22208029112776e-26
1.335,0.005,0,9.84050698997562e-28
1.345,0.005,0,1.99234937289322e-28
1.355,0.005,0,6.01341751070858e-30
1.365,0.005,0,6.42122074195507e-32
1.375,0.005,0,2.26071114269092e-32
1.385,0.005,0,2.53240639737617e-34
1.395,0.005,0,1.07279177462397e-34
1.405,0.005,0,1.37380569877415e-35
1.415,0.005,0,4.11578220226511e-37
1.425,0.005,0,6.78411591151988e-38
1.435,0.005,0,9.98378998791835e-40
1.445,0.005,0,1.78648829573613e-40
1.455,0.005,0,8.68210661114084e-43
1.465,0.005,0,1.7241967259283e-43
1.475,0.005,0,1.9824049983833e-45
1.485,0.005,0,1.43623227541592e-46
1.495,0.005,0,5.27292622907339e-48
1.505,0.005,0,7.0251155274363e-40
1.515,0.005,0,3.057300775357e-39
1.525,0.005,0,5.78979563965459e-39
1.535,0.005,0,1.58036939390432e-35
1.545,0.005,0,2.19468869250934e-34
1.555,0.005,0,2.58997543962608e-34
1.565,0.005,0,9.63300234626088e-34
1.575,0.005,0,9.64901282371777e-34
1.585,0.005,0,9.79703557248694e-33
1.595,0.005,0,9.82894272598457e-33
1.605,0.005,0,6.70428724205883e-32
1.615,0.005,0,6.80667653659817e-32
1.625,0.005,0,4.28508236435675e-31
1.635,0.005,0,4.69649085297184e-31
1.645,0.005,0,7.25122159076387e-31
1.655,0.005,0,3.3203757119441e-30
1.665,0.005,0,3.33609797992738e-30
1.675,0.005,0,1.85274133764291e-29
1.685,0.005,0,1.95288814607158e-29
1.695,0.005,0,7.63910988947467e-29
1.705,0.005,0,1.77940958654174e-28
1.715,0.005,0,1.7904221022853e-28
1.725,0.005,0,1.55227000259578e-28
1.735,0.005,0,1.48802496452349e-28
1.745,0.005,0,3.52217157552858e-28
1.755,0.005,0,5.2022036725155e-28
1.765,0.005,0,6.06523149975388e-28
1.775,0.005,0,7.52194673149139e-28
1.785,0.005,0,6.96482588855983e-28
1.795,0.005,0,5.34520145165138e-28
1.805,0.005,0,5.326023451108e-28
1.815,0.005,0,5.92402283534331e-28
1.825,0.005,0,5.94429765565777e-28
1.835,0.005,0,9.92374602730442e-28
1.845,0.005,0,1.1045642162904e-27
1.855,0.005,0,1.16872596674214e-27
1.865,0.005,0,1.41514431490236e-27
1.875,0.005,0,1.42052123901415e-27
1.885,0.005,0,1.92048608917333e-26
1.895,0.005,0,2.06410500106982e-26
1.905,0.005,0,2.04927794071148e-26
1.915,0.005,0,3.01468341584112e-26
1.925,0.005,0,3.66307462707603e-26
1.935,0.005,0,3.81800481612138e-26
1.945,0.005,0,6.12942327590582e-26
1.955,0.005,0,6.23072717648527e-26
1.965,0.005,0,5.31201169662124e-25
1.975,0.005,0,5.36311140335418e-25
1.985,0.005,0,2.52730982842681e-25
1.995,0.005,0,1.14883969394507e-25
2.005,0.005,0,3.85135793626701e-26
2.015,0.005,0,4.87182100331357e-26
2.025,0.005,0,1.18722310618986e-25
2.035,0.005,0,1.21102058081246e-25
2.045,0.005,0,1.87076109184142e-26
2.055,0.005,0,1.42470100307701e-26
2.065,0.005,0,2.16286846201586e-27
2.075,0.005,0,1.80774931512626e-27
2.085,0.005,0,1.91385649873187e-27
2.095,0.005,0,5.73124104064242e-28
2.105,0.005,0,2.29147715778184e-28
2.115,0.005,0,1.11833854005084e-28
2.125,0.005,0,1.08523276292847e-28
2.135,0.005,0,1.28481415679542e-28
2.145,0.005,0,1.29115773728797e-28
2.155,0.005,0,9.19636892495754e-27
2.165,0.005,0,9.49304341546392e-27
2.175,0.005,0,6.15868959152924e-25
2.185,0.005,0,1.63981359128716e-24
2.195,0.005,0,1.6363822893855e-24
2.205,0.005,0,3.7532465044426e-25
2.215,0.005,0,3.54630718749863e-25
2.225,0.005,0,4.06588392010356e-25
2.235,0.005,0,4.11972460041458e-25
2.245,0.005,0,5.81061561957164e-25
2.255,0.005,0,9.24077884234271e-26
2.265,0.005,0,8.07016762029092e-26
2.275,0.005,0,4.42822828577093e-26
2.285,0.005,0,1.36685694487934e-26
2.295,0.005,0,1.00786510789407e-26
2.305,0.005,0,5.33102115829455e-27
2.315,0.005,0,5.1654434471014e-27
2.325,0.005,0,1.4594343326041e-26
2.335,0.005,0,1.5294592100889e-26
2.345,0.005,0,6.03967367105413e-27
2.355,0.005,0,5.51786849673574e-27
2.365,0.005,0,5.861740231408e-27
2.375,0.005,0,5.89717819578931e-27
2.385,0.005,0,2.82227962940718e-27
2.395,0.005,0,1.61365589801278e-27
2.405,0.005,0,1.48696358329989e-27
2.415,0.005,0,8.85750875367807e-27
2.425,0.005,0,1.99332862015356e-26
2.435,0.005,0,2.06410923103351e-26
2.445,0.005,0,3.10042825470348e-26
2.455,0.005,0,3.40801116950727e-26
2.465,0.005,0,3.39126040034734e-26
2.475,0.005,0,7.99943166233563e-27
2.485,0.005,0,6.73356571029306e-27
2.495,0.005,0,2.23830436321252e-27
2.505,0.005,0,4.40275741821329e-28
2.515,0.005,0,1.01941492711692e-28
2.525,0.005,0,6.5851308312648e-29
2.535,0.005,0,6.28221619342332e-29
2.545,0.005,0,3.73943592968114e-29
2.555,0.005,0,7.11069487885024e-29
2.565,0.005,0,4.77403470533949e-27
2.575,0.005,0,3.21874682052066e-27
2.585,0.005,0,2.52957089099744e-27
2.595,0.005,0,1.26153627791215e-25
2.605,0.005,0,4.93827236699042e-25
2.615,0.005,0,5.20232589366613e-25
2.625,0.005,0,4.1356558887674e-25
2.635,0.005,0,4.09069223074422e-25
2.645,0.005,0,7.53120099633049e-25
2.655,0.005,0,8.11465973242366e-25
2.665,0.005,0,3.06023640063251e-25
2.675,0.005,0,2.02734174384805e-25
2.685,0.005,0,3.77825330599434e-25
2.695,0.005,0,4.23187790831813e-25
2.705,0.005,0,1.77373345732061e-25
2.715,0.005,0,9.47481449027196e-26
2.725,0.005,0,4.31455833686182e-26
2.735,0.005,0,2.89699091884782e-26
2.745,0.005,0,1.56243374755179e-26
2.755,0.005,0,5.07344033559989e-27
2.765,0.005,0,5.46796530740697e-27
2.775,0.005,0,1.48909823917754e-27
2.785,0.005,0,1.17044401690938e-27
2.795,0.005,0,7.47759153817383e-28
2.805,0.005,0,4.03196015191296e-28
2.815,0.005,0,3.51783404715554e-27
2.825,0.005,0,4.04844604027114e-27
2.835,0.005,0,6.73039159237363e-27
2.845,0.005,0,7.0811051441263e-27
2.855,0.005,0,6.11056672151284e-27
0.005,0.015,0,5.80397604735469e-33
0.015,0.015,0,2.83473149334066e-32
0.025,0.015,0,9.17039010892969e-32
0.035,0.015,0,2.58421852397629e-31
0.045,0.015,0,9.73655042336156e-31
0.055,0.015,0,5.87555880617818e-30
0.065,0.015,0,1.17463141741405e-29
0.075,0.015,0,8.73351923882658e-29
0.085,0.015,0,1.68303871545906e-28
0.095,0.015,0,1.72558931495121e-28
0.105,0.015,0,2.54140254409765e-28
0.115,0.015,0,3.17673330363485e-28
0.125,0.015,0,3.43629129875425e-28
0.135,0.015,0,9.56432201573866e-28
0.145,0.015,0,3.30492643962578e-27
0.155,0.015,0,1.69261383808315e-26
0.165,0.015,0,3.50991242760349e-26
0.175,0.015,0,7.47393085221622e-26
0.185,0.015,0,4.21052036571222e-25
0.195,0.015,0,9.54855483810534e-25
0.205,0.015,0,1.135999071275e-24
0.215,0.015,0,1.05171954116959e-24
0.225,0.015,0,2.64310567408181e-24
0.235,0.015,0,4.47470798116309e-24
0.245,0.015,0,4.03282783613277e-24
0.255,0.015,0,2.92466399355686e-24
0.265,0.015,0,3.3370653923725e-24
0.275,0.015,0,4.02201324835661e-24
0.285,0.015,0,1.4749642909892e-23
0.295,0.015,0,2.06403895219515e-23
0.305,0.015,0,5.96795644992233e-24
0.315,0.015,0,7.84132415630788e-24
0.325,0.015,0,1.00047385995861e-23
0.335,0.015,0,1.06880518675107e-23
0.345,0.015,0,1.05313553475473e-23
0.355,0.015,0,1.03506880147832e-23
0.365,0.015,0,8.32961930516012e-24
0.375,0.015,0,3.26967905621675e-24
0.385,0.015,0,1.05696644846116e-24
0.395,0.015,0,5.75637021274859e-25
0.405,0.015,0,4.77659205580936e-25
0.415,0.015,0,2.32352164703665e-24
0.425,0.015,0,1.25749097891623e-23
0.435,0.015,0,4.04602081392665e-23
0.445,0.015,0,3.40905853482504e-22
0.455,0.015,0,7.31252353925025e-22
0.465,0.015,0,4.80668896122674e-21
0.475,0.015,0,9.66538869140013e-21
0.485,0.015,0,8.29250653034948e-20
0.495,0.015,0,3.28724774611676e-19
0.505,0.015,0,1.57729766039043e-18
0.515,0.015,0,3.31953184854039e-18
0.525,0.015,0,2.39509129160047e-17
0.535,0.015,0,4.76851416267286e-17
0.545,0.015,0,2.85976335172303e-16
0.555,0.015,0,7.79725095743246e-16
0.565,0.015,0,1.71525698296288e-15
0.575,0.015,0,9.38968182311412e-15
0.585,0.015,0,1.77295572471291e-14
0.595,0.015,0,9.14607806731711e-14
0.605,0.015,0,3.2705131310447e-13
0.615,0.015,0,1.24077569727936e-12
0.625,0.015,0,2.02205540396835e-12
0.635,0.015,0,5.14692217961674e-12
0.645,0.015,0,1.10729573015835e-11
0.655,0.015,0,1.94117469120866e-11
0.665,0.015,0,4.92009812239377e-11
0.675,0.015,0,1.07245726184422e-10
0.685,0.015,0,3.16904347985029e-10
0.695,0.015,0,1.25828318835156e-09
0.705,0.015,0,4.25993934695256e-09
0.715,0.015,0,1.1650071548248e-08
0.725,0.015,0,1.60643005995865e-08
0.735,0.015,0,3.63968596660443e-08
0.745,0.015,0,5.04201308651158e-08
0.755,0.015,0,5.67018519172328e-08
0.765,0.015,0,1.23039775694881e-07
0.775,0.015,0,3.42735050557286e-07
0.785,0.015,0,6.9305431409952e-07
0.795,0.015,0,1.06814103713385e-06
0.805,0.015,0,1.49015454051023e-06
0.815,0.015,0,1.91703860606839e-06
0.825,0.015,0,5.22641460171287e-06
0.835,0.015,0,7.70601752642201e-06
0.845,0.015,0,5.9794765636603e-06
0.855,0.015,0,6.75377204802446e-06
0.865,0.015,0,1.45462444308828e-05
0.875,0.015,0,1.02234192925159e-05
0.885,0.015,0,1.32381853051893e-05
0.895,0.015,0,1.98481755385819e-05
0.905,0.015,0,2.33449428293424e-05
0.915,0.015,0,1.7447128942693e-05
0.925,0.015,0,8.70817895211539e-06
0.935,0.015,0,7.52154944355608e-06
0.945,0.015,0,7.97555215167789e-06
0.955,0.015,0,5.10144514141439e-06
0.965,0.015,0,1.65332626584699e-06
0.975,0.015,0,1.13399583695825e-06
0.985,0.015,0,1.58394666845695e-06
0.995,0.015,0,3.06669925803876e-06
1.005,0.015,0,1.64771369293961e-06
1.015,0.015,0,4.69374746652423e-07
1.025,0.015,0,5.84874648434822e-07
1.035,0.015,0,4.15320497502246e-07
1.045,0.015,0,8.3429635333369e-08
1.055,0.015,0,5.85954562515652e-08
1.065,0.015,0,2.05979859194222e-08
1.075,0.015,0,7.45977888492835e-09
1.085,0.015,0,4.00678840470729e-09
1.095,0.015,0,6.41389096102462e-10
1.105,0.015,0,1.99693705747033e-10
1.115,0.015,0,7.38745379146203e-11
1.125,0.015,0,2.87371731380128e-11
1.135,0.015,0,1.50956508560629e-11
1.145,0.015,0,3.21779337390079e-12
1.155,0.015,0,8.26097826675283e-13
1.165,0.015,0,1.96011289749478e-13
1.175,0.015,0,9.09401247003471e-14
1.185,0.015,0,9.34396498174831e-15
1.195,0.015,0,2.57767872231614e-15
1.205,0.015,0,3.04523117053718e-16
1.215,0.015,0,6.54276747851279e-17
1.225,0.015,0,9.4394704678199e-18
1.235,0.015,0,1.67686004331092e-18
1.245,0.015,0,2.06711620144095e-19
1.255,0.015,0,1.03598903688988e-19
1.265,0.015,0,8.43074225601268e-21
1.275,0.015,0,2.03969420851085e-21
1.285,0.015,0,9.40167628924616e-22
1.295,0.015,0,1.99628160123689e-23
1.305,0.015,0,8.60876835396394e-24
1.315,0.015,0,1.86099264988238e-25
1.325,0.015,0,6.54181557178191e-26
1.335,0.015,0,1.2529258469982e-27
1.345,0.015,0,2.1385732566756e-28
1.355,0.015,0,7.52855069691105e-30
1.365,0.015,0,6.27912053240355e-31
1.375,0.015,0,3.77905089212399e-32
1.385,0.015,0,1.2311034707419e-32
1.395,0.015,0,1.26746323569504e-34
1.405,0.015,0,6.3431992183931e-35
1.415,0.015,0,3.50339987203795e-37
1.425,0.015,0,1.78925406738671e-37
1.435,0.015,0,6.16845644528731e-38
1.445,0.015,0,3.19610588567264e-40
1.455,0.015,0,4.50172176166166e-41
1.465,0.015,0,4.97181714598856e-43
1.475,0.015,0,2.65074825750598e-45
1.485,0.015,0,1.08286583454094e-45
1.495,0.015,0,5.32735211887293e-40
1.505,0.015,0,2.24730673581092e-39
1.515,0.015,0,3.96187825973454e-39
1.525,0.015,0,1.80638316842306e-35
1.535,0.015,0,3.99421254049884e-35
1.545,0.015,0,3.28323841869649e-34
1.555,0.015,0,3.28758103564051e-31
1.565,0.015,0,3.28983319332088e-31
1.575,0.015,0,2.29421510008428e-30
1.585,0.015,0,1.04167276838186e-30
1.595,0.015,0,1.01441627339097e-30
1.605,0.015,0,1.65168770600048e-31
1.615,0.015,0,5.87881987265624e-31
1.625,0.015,0,1.26210762625817e-30
1.635,0.015,0,1.36142143576986e-30
1.645,0.015,0,9.425606869559e-29
1.655,0.015,0,3.09048379010552e-28
1.665,0.015,0,1.4732363764641e-27
1.675,0.015,0,4.41565603585289e-28
1.685,0.015,0,1.29952137318415e-28
1.695,0.015,0,2.93565663008748e-28
1.705,0.015,0,4.30381355073622e-28
1.715,0.015,0,5.24185682138794e-28
1.725,0.015,0,4.78849350995401e-28
1.735,0.015,0,4.90079878015313e-28
1.745,0.015,0,1.00399473191558e-27
1.755,0.015,0,2.36905671236404e-27
1.765,0.015,0,6.13525276039549e-27
1.775,0.015,0,9.80814234870634e-27
1.785,0.015,0,1.43833529581968e-26
1.795,0.015,0,2.38852257664795e-26
1.805,0.015,0,2.16011032898492e-26
1.815,0.015,0,8.96315041161322e-27
1.825,0.015,0,2.02346066661787e-27
1.835,0.015,0,2.69543391593081e-27
1.845,0.015,0,3.24194389211521e-27
1.855,0.015,0,3.5866798055159e-27
1.865,0.015,0,3.97653546480268e-27
1.875,0.015,0,1.68059351151167e-26
1.885,0.015,0,4.22728730319326e-26
1.895,0.015,0,5.75393253810564e-26
1.905,0.015,0,3.66893499263509e-26
1.915,0.015,0,4.42237247953761e-26
1.925,0.015,0,9.27396021099643e-26
1.935,0.015,0,1.28182607951535e-25
1.945,0.015,0,1.62904205339295e-25
1.955,0.015,0,5.51792806752985e-25
1.965,0.015,0,1.82834549545305e-24
1.975,0.015,0,2.06839294520584e-24
1.985,0.015,0,2.47116483467672e-24
1.995,0.015,0,1.23667914407754e-24
2.005,0.015,0,7.56400804026991e-25
2.015,0.015,0,1.6923638167064e-25
2.025,0.015,0,3.01198503577362e-25
2.035,0.015,0,2.9632390077039e-25
2.045,0.015,0,1.50450393934851e-25
2.055,0.015,0,4.55211658061464e-26
2.065,0.015,0,5.72209484357551e-26
2.075,0.015,0,4.15482612568279e-26
2.085,0.015,0,5.91059620497736e-27
2.095,0.015,0,3.24759502441884e-27
2.105,0.015,0,1.9319259072837e-27
2.115,0.015,0,3.58068334509408e-27
2.125,0.015,0,2.63683457941607e-27
2.135,0.015,0,7.68221440873387e-28
2.145,0.015,0,9.92413455617824e-27
2.155,0.015,0,2.04046480384598e-26
2.165,0.015,0,5.87453075672136e-26
2.175,0.015,0,2.01850402954449e-24
2.185,0.015,0,3.97826275152185e-24
2.195,0.015,0,7.43065473706744e-24
2.205,0.015,0,1.10859734539908e-23
2.215,0.015,0,6.20966037833659e-24
2.225,0.015,0,1.16673572403581e-24
2.235,0.015,0,1.48625677752077e-24
