x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,1.040818330268e-51
0.015,0.005,0,1.90487499584308e-51
0.025,0.005,0,4.82075409756239e-50
0.035,0.005,0,1.11602593713459e-49
0.045,0.005,0,2.03191366341584e-48
0.055,0.005,0,2.06384999561998e-47
0.065,0.005,0,1.12743274941604e-46
0.075,0.005,0,5.3128912678726e-46
0.085,0.005,0,4.19452038468296e-45
0.095,0.005,0,4.26235937655406e-45
0.105,0.005,0,4.56019861303134e-45
0.115,0.005,0,7.30735780417116e-45
0.125,0.005,0,8.9393416137851e-45
0.135,0.005,0,4.25685581543387e-44
0.145,0.005,0,1.54428369987489e-43
0.155,0.005,0,1.48182578841939e-42
0.165,0.005,0,2.28250021682223e-41
0.175,0.005,0,7.42545601319766e-41
0.185,0.005,0,1.04211833316813e-40
0.195,0.005,0,1.12167132243246e-39
0.205,0.005,0,2.91971745247566e-39
0.215,0.005,0,3.71688688837172e-39
0.225,0.005,0,2.68059433168444e-38
0.235,0.005,0,4.86847942951529e-38
0.245,0.005,0,4.88531165409739e-38
0.255,0.005,0,3.43181514561581e-38
0.265,0.005,0,5.69645027580108e-38
0.275,0.005,0,5.64078761384115e-38
0.285,0.005,0,3.47513864836522e-38
0.295,0.005,0,3.89137436233424e-38
0.305,0.005,0,3.70667840295681e-37
0.315,0.005,0,4.23003658291765e-37
0.325,0.005,0,2.32075070589125e-36
0.335,0.005,0,2.48845866306821e-36
0.345,0.005,0,7.60956719150626e-36
0.355,0.005,0,9.70567178401251e-36
0.365,0.005,0,9.52579345543384e-36
0.375,0.005,0,1.21900574835773e-36
0.385,0.005,0,1.19234478551718e-36
0.395,0.005,0,4.82519506214876e-38
0.405,0.005,0,1.98855883821195e-38
0.415,0.005,0,8.67524255007584e-38
0.425,0.005,0,1.69743996166633e-37
0.435,0.005,0,2.29215352918507e-36
0.445,0.005,0,2.24405087410637e-35
0.455,0.005,0,6.02161241604992e-35
0.465,0.005,0,1.78007110088743e-34
0.475,0.005,0,6.83211160521834e-34
0.485,0.005,0,4.72554105314673e-33
0.495,0.005,0,2.27717862838165e-32
0.505,0.005,0,2.5818581968028e-31
0.515,0.005,0,7.37685499492468e-31
0.525,0.005,0,4.6847849380156e-30
0.535,0.005,0,1.99369359842393e-29
0.545,0.005,0,3.50325993905706e-29
0.555,0.005,0,5.53013886697354e-28
0.565,0.005,0,1.35776624357435e-27
0.575,0.005,0,1.28321881342829e-26
0.585,0.005,0,5.17469329350616e-26
0.595,0.005,0,4.85154892173712e-25
0.605,0.005,0,7.09655939971249e-25
0.615,0.005,0,8.06269655375303e-24
0.625,0.005,0,2.04269294049019e-23
0.635,0.005,0,2.71965869054112e-23
0.645,0.005,0,2.24435424119767e-22
0.655,0.005,0,2.57293249824546e-22
0.665,0.005,0,1.12737507812627e-21
0.675,0.005,0,1.5580804501572e-21
0.685,0.005,0,1.09388497697737e-20
0.695,0.005,0,1.16043557445789e-19
0.705,0.005,0,2.84709049340887e-19
0.715,0.005,0,3.58912738130965e-18
0.725,0.005,0,3.66042909600758e-18
0.735,0.005,0,5.57566457505799e-18
0.745,0.005,0,5.61046689891258e-18
0.755,0.005,0,2.69299676001146e-18
0.765,0.005,0,2.66430390025709e-18
0.775,0.005,0,1.87568642426537e-17
0.785,0.005,0,2.24753750907298e-17
0.795,0.005,0,2.23704968317063e-17
0.805,0.005,0,2.7858080696559e-17
0.815,0.005,0,4.66146487476991e-17
0.825,0.005,0,3.75741134798786e-16
0.835,0.005,0,5.51706164943649e-16
0.845,0.005,0,1.999901690123e-16
0.855,0.005,0,1.81740715842864e-16
0.865,0.005,0,8.34942725303781e-17
0.875,0.005,0,4.07401642773021e-16
0.885,0.005,0,5.84362768874551e-16
0.895,0.005,0,2.62625940530459e-15
0.905,0.005,0,3.01500408100244e-15
0.915,0.005,0,2.8428507297122e-15
0.925,0.005,0,2.38724839507654e-16
0.935,0.005,0,2.3691741113646e-16
0.945,0.005,0,1.88308440041849e-16
0.955,0.005,0,3.78450197150837e-17
0.965,0.005,0,3.70901856767087e-17
0.975,0.005,0,1.09032012898093e-17
0.985,0.005,0,8.74967291987828e-18
0.995,0.005,0,8.68566107963823e-18
1.005,0.005,0,8.92982741315411e-18
1.015,0.005,0,9.46524191618351e-18
1.025,0.005,0,9.50352296590147e-18
1.035,0.005,0,3.42587386702881e-19
1.045,0.005,0,2.91602776951583e-19
1.055,0.005,0,2.40618167200285e-19
1.065,0.005,0,3.19525152949328e-20
1.075,0.005,0,3.01260530380802e-20
1.085,0.005,0,1.49686041022961e-21
1.095,0.005,0,3.93303744873924e-22
1.105,0.005,0,4.11891454865886e-22
