x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,4.63636207896185e-44
0.015,0.005,0,8.57302278309828e-44
0.025,0.005,0,1.26741549677074e-42
0.035,0.005,0,2.82505751658392e-42
0.045,0.005,0,2.97667896170373e-41
0.055,0.005,0,1.92660294115151e-40
0.065,0.005,0,9.33516612932845e-40
0.075,0.005,0,3.07115022338971e-39
0.085,0.005,0,1.99103735634888e-38
0.095,0.005,0,2.05352231217165e-38
0.105,0.005,0,2.21911566633249e-38
0.115,0.005,0,3.86210257745279e-38
0.125,0.005,0,4.93243197659536e-38
0.135,0.005,0,1.78256076999725e-37
0.145,0.005,0,5.95397648099125e-37
0.155,0.005,0,3.47318600918032e-36
0.165,0.005,0,3.35141065984997e-35
0.175,0.005,0,9.46558077859418e-35
0.185,0.005,0,1.31050620097211e-34
0.195,0.005,0,8.74729812620431e-34
0.205,0.005,0,2.1032631133311e-33
0.215,0.005,0,2.63482086674707e-33
0.225,0.005,0,1.16680292859791e-32
0.235,0.005,0,2.00716501710589e-32
0.245,0.005,0,2.01491759258271e-32
0.255,0.005,0,1.46087372072068e-32
0.265,0.005,0,2.16421293793382e-32
0.275,0.005,0,2.12670972941819e-32
0.285,0.005,0,1.29889573508918e-32
0.295,0.005,0,1.43861112290038e-32
0.305,0.005,0,8.00629638804664e-32
0.315,0.005,0,8.95953798151937e-32
0.325,0.005,0,2.88948447084973e-31
0.335,0.005,0,3.05237204056334e-31
0.345,0.005,0,5.94679353639701e-31
0.355,0.005,0,7.01654225098049e-31
0.365,0.005,0,6.79479496222294e-31
0.375,0.005,0,8.73554267456622e-32
0.385,0.005,0,8.41359039812564e-32
0.395,0.005,0,3.93303798311334e-33
0.405,0.005,0,2.00995087607941e-33
0.415,0.005,0,5.5752619290825e-33
0.425,0.005,0,1.14782441664515e-32
0.435,0.005,0,1.11947856643954e-31
0.445,0.005,0,7.65478707076205e-31
0.455,0.005,0,2.37337678885985e-30
0.465,0.005,0,7.87687001487521e-30
0.475,0.005,0,3.51162494074286e-29
0.485,0.005,0,1.92558057817642e-28
0.495,0.005,0,9.86021728050856e-28
0.505,0.005,0,7.32327626629982e-27
0.515,0.005,0,2.53902102052598e-26
0.525,0.005,0,1.28171849239756e-25
0.535,0.005,0,5.61468322336543e-25
0.545,0.005,0,1.02862676048894e-24
0.555,0.005,0,1.19907788206995e-23
0.565,0.005,0,2.75170821548759e-23
0.575,0.005,0,2.08861672916084e-22
0.585,0.005,0,7.17438978775756e-22
0.595,0.005,0,5.34633494998207e-21
0.605,0.005,0,7.86272632151647e-21
0.615,0.005,0,6.30082744010266e-20
0.625,0.005,0,1.55572735396782e-19
0.635,0.005,0,2.09828965926901e-19
0.645,0.005,0,1.26834999720215e-18
0.655,0.005,0,1.52524187912103e-18
0.665,0.005,0,6.00647140790952e-18
0.675,0.005,0,8.51943396078311e-18
0.685,0.005,0,4.51451193995021e-17
