x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,1.70888597977734e-29
0.015,0.005,0,2.7668640347982e-29
0.025,0.005,0,1.58905219391621e-28
0.035,0.005,0,3.0868985695882e-28
0.045,0.005,0,1.26751148279111e-27
0.055,0.005,0,4.15060255291148e-27
0.065,0.005,0,1.40722454503136e-26
0.075,0.005,0,2.88490892295561e-26
0.085,0.005,0,1.11494460313976e-25
0.095,0.005,0,1.20277122327167e-25
0.105,0.005,0,1.33291639377781e-25
0.115,0.005,0,2.24048821960637e-25
0.125,0.005,0,2.88397532027398e-25
0.135,0.005,0,6.04120669769521e-25
0.145,0.005,0,1.52462222321193e-24
0.155,0.005,0,4.02395693254103e-24
0.165,0.005,0,1.80696816444586e-23
0.175,0.005,0,3.41898371427996e-23
0.185,0.005,0,4.49591899979941e-23
0.195,0.005,0,1.41632946532123e-22
0.205,0.005,0,2.66585123158967e-22
0.215,0.005,0,3.1479696104367e-22
0.225,0.005,0,6.49617063274011e-22
0.235,0.005,0,9.39082071334983e-22
0.245,0.005,0,9.32019793184416e-22
0.255,0.005,0,7.08092519661807e-22
0.265,0.005,0,7.42137803415542e-22
0.275,0.005,0,7.058402175885e-22
0.285,0.005,0,4.17731768452326e-22
0.295,0.005,0,4.41273555898814e-22
0.305,0.005,0,9.88074527995528e-22
0.315,0.005,0,1.02040277354426e-21
0.325,0.005,0,1.27190920057484e-21
0.335,0.005,0,1.24366621291505e-21
0.345,0.005,0,1.00592288397367e-21
0.355,0.005,0,8.5410426815349e-22
0.365,0.005,0,7.88773467529801e-22
0.375,0.005,0,1.02584515041469e-22
0.385,0.005,0,1.25258522284577e-22
0.395,0.005,0,2.33484908266683e-22
0.405,0.005,0,7.39844592818355e-22
0.415,0.005,0,3.38208480817921e-21
0.425,0.005,0,1.11472858452061e-20
0.435,0.005,0,6.95565184926505e-20
0.445,0.005,0,2.71555982288213e-19
0.455,0.005,0,1.17205024341367e-18
0.465,0.005,0,3.62005040608484e-18
0.475,0.005,0,1.60973263155856e-17
0.485,0.005,0,5.45396229113383e-17
0.495,0.005,0,2.42318387668738e-16
0.505,0.005,0,8.83536196405018e-16
0.515,0.005,0,3.07617331269253e-15
0.525,0.005,0,9.06764357574819e-15
0.535,0.005,0,3.3120859515312e-14
0.545,0.005,0,6.1079813641692e-14
0.555,0.005,0,3.26329194278899e-13
0.565,0.005,0,6.70383360934837e-13
0.575,0.005,0,2.84704816943933e-12
0.585,0.005,0,6.89139261211957e-12
0.595,0.005,0,2.80177675586617e-11
0.605,0.005,0,4.48890128261213e-11
0.615,0.005,0,1.60135589536412e-10
0.625,0.005,0,3.8918758986793e-10
0.635,0.005,0,6.03032290302561e-10
0.645,0.005,0,2.05796735161142e-09
0.655,0.005,0,3.35427169890222e-09
0.665,0.005,0,1.04780623044139e-08
