x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,1.58331868425236e-27
0.015,0.005,0,2.50682669588791e-27
0.025,0.005,0,1.28920907340701e-26
0.035,0.005,0,2.44603297075116e-26
0.045,0.005,0,9.02952194222539e-26
0.055,0.005,0,2.75455272311368e-25
0.065,0.005,0,8.83173297594567e-25
0.075,0.005,0,1.73360264746769e-24
0.085,0.005,0,6.22708156159986e-24
0.095,0.005,0,6.75034346850623e-24
0.105,0.005,0,7.49412288583502e-24
0.115,0.005,0,1.22624498326074e-23
0.125,0.005,0,1.56748421512151e-23
0.135,0.005,0,3.09313818933996e-23
0.145,0.005,0,7.46280337416637e-23
0.155,0.005,0,1.8229870917184e-22
0.165,0.005,0,7.55034761814446e-22
0.175,0.005,0,1.35381788694117e-21
0.185,0.005,0,1.76533153770392e-21
0.195,0.005,0,5.17833608069485e-21
0.205,0.005,0,9.42521303630308e-21
0.215,0.005,0,1.10345426811053e-20
0.225,0.005,0,2.13343318355162e-20
0.235,0.005,0,3.01274120479737e-20
0.245,0.005,0,2.98253390710362e-20
0.255,0.005,0,2.27770898372318e-20
0.265,0.005,0,2.3087134899268e-20
0.275,0.005,0,2.18422493448508e-20
0.285,0.005,0,1.28958325769896e-20
0.295,0.005,0,1.35385239803077e-20
0.305,0.005,0,2.82109379187306e-20
0.315,0.005,0,2.88641038543021e-20
0.325,0.005,0,3.36736284265684e-20
0.335,0.005,0,3.26437280215853e-20
0.345,0.005,0,2.49710535937099e-20
0.355,0.005,0,2.05720245275944e-20
0.365,0.005,0,1.90430667664887e-20
0.375,0.005,0,3.60822017734566e-21
0.385,0.005,0,6.03884396496636e-21
0.395,0.005,0,1.79485058580681e-20
0.405,0.005,0,5.81714396551656e-20
0.415,0.005,0,2.41002785090586e-19
0.425,0.005,0,8.00079010475027e-19
0.435,0.005,0,4.53408564230482e-18
0.445,0.005,0,1.65361818058908e-17
0.455,0.005,0,6.88845435034681e-17
0.465,0.005,0,2.00634458733949e-16
0.475,0.005,0,8.55289007932655e-16
0.485,0.005,0,2.71320213961171e-15
0.495,0.005,0,1.15366636329863e-14
0.505,0.005,0,3.85294709501315e-14
0.515,0.005,0,1.30943121414143e-13
0.525,0.005,0,3.59843757516908e-13
0.535,0.005,0,1.26191877314284e-12
0.545,0.005,0,2.32271218571962e-12
0.555,0.005,0,1.10818617651739e-11
0.565,0.005,0,2.27858850427206e-11
0.575,0.005,0,8.96963968223303e-11
0.585,0.005,0,2.04339072009877e-10
0.595,0.005,0,7.74989858124218e-10
0.605,0.005,0,1.30414985220866e-09
0.615,0.005,0,4.19593527263844e-09
0.625,0.005,0,1.04852591992357e-08
0.635,0.005,0,1.70720783732677e-08
0.645,0.005,0,5.50542394310603e-08
0.655,0.005,0,9.66836444863969e-08
0.665,0.005,0,2.84111526231e-07
0.675,0.005,0,5.45034207345186e-07
0.685,0.005,0,1.68070832366314e-06
0.695,0.005,0,4.5379936920144e-06
0.705,0.005,0,9.59854765746303e-06
0.715,0.005,0,2.42583937909952e-05
0.725,0.005,0,3.84363993652298e-05
0.735,0.005,0,7.93828883508781e-05
0.745,0.005,0,0.000122236507019944
0.755,0.005,0,0.000196390272027046
0.765,0.005,0,0.000371371653576352
0.775,0.005,0,0.000670131260968412
0.785,0.005,0,0.0012406564341719
0.795,0.005,0,0.00138559386727881
0.805,0.005,0,0.00201391383353161
0.815,0.005,0,0.00282928364017516
0.825,0.005,0,0.00429815632478467
0.835,0.005,0,0.00482261860767544
0.845,0.005,0,0.00470667944103272
0.855,0.005,0,0.00444005139002253
0.865,0.005,0,0.00403518303750994
0.875,0.005,0,0.00677528502937286
0.885,0.005,0,0.00780116704305594
0.895,0.005,0,0.00931758113324191
0.905,0.005,0,0.00893110720386394
0.915,0.005,0,0.00802517654415942
0.925,0.005,0,0.00499968360448047
0.935,0.005,0,0.00510684796272581
0.945,0.005,0,0.00536701544406795
0.955,0.005,0,0.00273650241025958
0.965,0.005,0,0.00231878629834811
0.975,0.005,0,0.00117241482810903
0.985,0.005,0,0.000840135864019893
0.995,0.005,0,0.000460785771674463
1.005,0.005,0,0.000409309533780922
1.015,0.005,0,0.000456157680713974
1.025,0.005,0,0.000481162668967588
1.035,0.005,0,0.000204371273507545
1.045,0.005,0,0.000155976301635231
1.055,0.005,0,0.000107581329762918
1.065,0.005,0,3.97255963503216e-05
1.075,0.005,0,2.45827287332587e-05
1.085,0.005,0,7.53947944200046e-06
1.095,0.005,0,3.15166130862537e-06
1.105,0.005,0,1.99231221198035e-06
1.115,0.005,0,3.89313586829352e-07
1.125,0.005,0,1.51599806453919e-07
1.135,0.005,0,3.41421587018179e-08
1.145,0.005,0,1.20858769409182e-08
1.155,0.005,0,2.60012467327618e-09
1.165,0.005,0,7.99968874132759e-10
1.175,0.005,0,1.34403575950869e-10
1.185,0.005,0,7.17803819354714e-11
1.195,0.005,0,6.96843724692399e-12
1.205,0.005,0,4.63839342434187e-12
1.215,0.005,0,1.6237009885269e-12
1.225,0.005,0,1.69991087134315e-13
1.235,0.005,0,9.31952243577167e-14
1.245,0.005,0,1.63993615811183e-14
1.255,0.005,0,2.27614723442656e-15
1.265,0.005,0,1.14050644311151e-15
1.275,0.005,0,6.20350978436276e-17
1.285,0.005,0,1.89203916826912e-17
1.295,0.005,0,4.43532668645272e-18
1.305,0.005,0,2.18466685285449e-19
1.315,0.005,0,5.2786781281956e-21
1.325,0.005,0,5.56946561603182e-22
1.335,0.005,0,3.02276403670013e-23
1.345,0.005,0,4.97446190024939e-24
1.355,0.005,0,1.02021001010352e-25
1.365,0.005,0,2.14396632591661e-28
1.375,0.005,0,8.93672031614856e-29
1.385,0.005,0,1.58094927977889e-31
1.395,0.005,0,6.03903217898211e-32
1.405,0.005,0,6.63863617275113e-33
1.415,0.005,0,8.10123744854559e-34
1.425,0.005,0,9.18789885527157e-33
1.435,0.005,0,3.95430609495695e-32
1.445,0.005,0,4.03249699593083e-32
1.455,0.005,0,2.04284691184988e-31
1.465,0.005,0,2.07589120979747e-29
1.475,0.005,0,4.91108265523458e-29
1.485,0.005,0,4.82849312967749e-27
1.495,0.005,0,5.5371108924537e-27
1.505,0.005,0,1.72145258784793e-26
1.515,0.005,0,2.77493905995686e-26
1.525,0.005,0,2.77385292999768e-26
1.535,0.005,0,2.25107595813777e-26
1.545,0.005,0,1.52405088558674e-26
1.555,0.005,0,5.42648489182157e-26
1.565,0.005,0,7.20887808976482e-25
1.575,0.005,0,7.22509944692528e-25
1.585,0.005,0,1.19837711128811e-24
1.595,0.005,0,1.19761632033897e-24
1.605,0.005,0,1.17047590879865e-24
1.615,0.005,0,1.17591135906755e-24
1.625,0.005,0,4.19960432648295e-24
